Stock.ID,Species,Stock,Region,UseFlag,BroodYear,Spawners,R1.0,R1.1,R1.2,R2.0,R2.1,R2.2,R3.0,R3.1,R3.2,R4.1,Recruits
102,Coho,Kuskokwim River,AYK,0,2010,407065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Coho,Kuskokwim River,AYK,0,2011,1064277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Coho,Kuskokwim River,AYK,0,2012,443296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Coho,Berners River,Southeast,1,1987,NA,NA,18978,NA,NA,23649,NA,NA,0,NA,NA,42627
104,Coho,Berners River,Southeast,1,1988,NA,NA,13907,NA,NA,24843,NA,NA,0,NA,NA,38750
104,Coho,Berners River,Southeast,1,1989,10819,NA,24843,NA,NA,34753,NA,NA,0,NA,NA,59596
104,Coho,Berners River,Southeast,1,1990,15074,NA,18633,NA,NA,41792,NA,NA,66,NA,NA,60491
104,Coho,Berners River,Southeast,1,1991,11243,NA,35417,NA,NA,14509,NA,NA,0,NA,NA,49926
104,Coho,Berners River,Southeast,1,1992,22011,NA,15433,NA,NA,9670,NA,NA,46,NA,NA,25149
104,Coho,Berners River,Southeast,1,1993,17145,NA,15443,NA,NA,10061,NA,NA,50,NA,NA,25554
104,Coho,Berners River,Southeast,1,1994,24014,NA,7602,NA,NA,16268,NA,NA,147,NA,NA,24017
104,Coho,Berners River,Southeast,1,1995,5038,NA,8460,NA,NA,22045,NA,NA,46,NA,NA,30551
104,Coho,Berners River,Southeast,1,1996,7361,NA,13345,NA,NA,16596,NA,NA,72,NA,NA,30013
104,Coho,Berners River,Southeast,1,1997,15528,NA,7391,NA,NA,21596,NA,NA,0,NA,NA,28987
104,Coho,Berners River,Southeast,1,1998,9580,NA,15138,NA,NA,29189,NA,NA,71,NA,NA,44398
104,Coho,Berners River,Southeast,1,1999,9302,NA,27311,NA,NA,23344,NA,NA,141,NA,NA,50796
104,Coho,Berners River,Southeast,1,2000,14389,NA,8135,NA,NA,17695,NA,NA,0,NA,NA,25830
104,Coho,Berners River,Southeast,1,2001,22929,NA,18823,NA,NA,3966,NA,NA,34,NA,NA,22823
104,Coho,Berners River,Southeast,1,2002,41089,NA,10051,NA,NA,6937,NA,NA,0,NA,NA,16988
104,Coho,Berners River,Southeast,1,2003,13004,NA,10170,NA,NA,1854,NA,NA,0,NA,NA,12024
104,Coho,Berners River,Southeast,1,2004,21477,NA,7812,NA,NA,5147,NA,NA,20,NA,NA,12979
104,Coho,Berners River,Southeast,1,2005,4926,NA,10877,NA,NA,1990,NA,NA,0,NA,NA,12867
104,Coho,Berners River,Southeast,1,2006,8918,NA,8329,NA,NA,5682,NA,NA,0,NA,NA,14011
104,Coho,Berners River,Southeast,1,2007,3952,NA,17949,NA,NA,2419,NA,NA,42,NA,NA,20410
104,Coho,Berners River,Southeast,1,2008,11764,NA,11069,NA,NA,2754,NA,NA,131,NA,NA,13954
104,Coho,Berners River,Southeast,1,2009,4059,NA,7056,NA,NA,7498,NA,NA,0,NA,NA,14554
104,Coho,Berners River,Southeast,1,2010,9781,NA,14953,NA,NA,11039,NA,NA,69,NA,NA,26061
