"regionname","species","location","locationtype","cuid","parameter","datavalue"
"Central Coast","Coho","Hecate Strait Mainland","Conservation Unit","520","catch_quality","1"
"Central Coast","Coho","Hecate Strait Mainland","Conservation Unit","520","dq_score","6"
"Central Coast","Coho","Hecate Strait Mainland","Conservation Unit","520","survey_coverage","3"
"Central Coast","Coho","Hecate Strait Mainland","Conservation Unit","520","survey_execution","1"
"Central Coast","Coho","Hecate Strait Mainland","Conservation Unit","520","survey_quality","1"
"Central Coast","Coho","Mussel-Kynoch","Conservation Unit","519","catch_quality","1"
"Central Coast","Coho","Mussel-Kynoch","Conservation Unit","519","dq_score","7"
"Central Coast","Coho","Mussel-Kynoch","Conservation Unit","519","survey_coverage","3"
"Central Coast","Coho","Mussel-Kynoch","Conservation Unit","519","survey_execution","2"
"Central Coast","Coho","Mussel-Kynoch","Conservation Unit","519","survey_quality","1"
"Central Coast","Coho","Northern Coastal Streams","Conservation Unit","523","catch_quality","1"
"Central Coast","Coho","Northern Coastal Streams","Conservation Unit","523","dq_score","11"
"Central Coast","Coho","Northern Coastal Streams","Conservation Unit","523","survey_coverage","5"
"Central Coast","Coho","Northern Coastal Streams","Conservation Unit","523","survey_execution","4"
"Central Coast","Coho","Northern Coastal Streams","Conservation Unit","523","survey_quality","1"
"Central Coast","Coho","Rivers Inlet","Conservation Unit","517","catch_quality","0"
"Central Coast","Coho","Rivers Inlet","Conservation Unit","517","dq_score","0"
"Central Coast","Coho","Rivers Inlet","Conservation Unit","517","survey_coverage","0"
"Central Coast","Coho","Rivers Inlet","Conservation Unit","517","survey_execution","0"
"Central Coast","Coho","Rivers Inlet","Conservation Unit","517","survey_quality","0"
"Central Coast","Coho","Smith Inlet","Conservation Unit","516","catch_quality","3"
"Central Coast","Coho","Smith Inlet","Conservation Unit","516","dq_score","10"
"Central Coast","Coho","Smith Inlet","Conservation Unit","516","survey_coverage","5"
"Central Coast","Coho","Smith Inlet","Conservation Unit","516","survey_execution","1"
"Central Coast","Coho","Smith Inlet","Conservation Unit","516","survey_quality","1"
"Central Coast","Lake sockeye","Backland","Conservation Unit","529","catch_quality","2"
"Central Coast","Lake sockeye","Backland","Conservation Unit","529","dq_score","11"
"Central Coast","Lake sockeye","Backland","Conservation Unit","529","survey_coverage","5"
"Central Coast","Lake sockeye","Backland","Conservation Unit","529","survey_execution","4"
"Central Coast","Lake sockeye","Backland","Conservation Unit","529","survey_quality","0"
"Central Coast","Lake sockeye","Banks","Conservation Unit","540","catch_quality","0"
"Central Coast","Lake sockeye","Banks","Conservation Unit","540","dq_score","0"
"Central Coast","Lake sockeye","Banks","Conservation Unit","540","survey_coverage","0"
"Central Coast","Lake sockeye","Banks","Conservation Unit","540","survey_execution","0"
"Central Coast","Lake sockeye","Banks","Conservation Unit","540","survey_quality","0"
"Central Coast","Lake sockeye","Bloomfield","Conservation Unit","541","catch_quality","2"
"Central Coast","Lake sockeye","Bloomfield","Conservation Unit","541","dq_score","9"
"Central Coast","Lake sockeye","Bloomfield","Conservation Unit","541","survey_coverage","5"
"Central Coast","Lake sockeye","Bloomfield","Conservation Unit","541","survey_execution","2"
"Central Coast","Lake sockeye","Bloomfield","Conservation Unit","541","survey_quality","0"
"Central Coast","Lake sockeye","Bolton Creek","Conservation Unit","542","catch_quality","0"
"Central Coast","Lake sockeye","Bolton Creek","Conservation Unit","542","dq_score","0"
"Central Coast","Lake sockeye","Bolton Creek","Conservation Unit","542","survey_coverage","0"
"Central Coast","Lake sockeye","Bolton Creek","Conservation Unit","542","survey_execution","0"
"Central Coast","Lake sockeye","Bolton Creek","Conservation Unit","542","survey_quality","0"
"Central Coast","Lake sockeye","Bonilla","Conservation Unit","543","catch_quality","0"
"Central Coast","Lake sockeye","Bonilla","Conservation Unit","543","dq_score","0"
"Central Coast","Lake sockeye","Bonilla","Conservation Unit","543","survey_coverage","0"
"Central Coast","Lake sockeye","Bonilla","Conservation Unit","543","survey_execution","0"
"Central Coast","Lake sockeye","Bonilla","Conservation Unit","543","survey_quality","0"
"Central Coast","Lake sockeye","Borrowman Creek","Conservation Unit","544","catch_quality","0"
"Central Coast","Lake sockeye","Borrowman Creek","Conservation Unit","544","dq_score","0"
"Central Coast","Lake sockeye","Borrowman Creek","Conservation Unit","544","survey_coverage","0"
"Central Coast","Lake sockeye","Borrowman Creek","Conservation Unit","544","survey_execution","0"
"Central Coast","Lake sockeye","Borrowman Creek","Conservation Unit","544","survey_quality","0"
"Central Coast","Lake sockeye","Busey Creek","Conservation Unit","545","catch_quality","0"
"Central Coast","Lake sockeye","Busey Creek","Conservation Unit","545","dq_score","0"
"Central Coast","Lake sockeye","Busey Creek","Conservation Unit","545","survey_coverage","0"
"Central Coast","Lake sockeye","Busey Creek","Conservation Unit","545","survey_execution","0"
"Central Coast","Lake sockeye","Busey Creek","Conservation Unit","545","survey_quality","0"
"Central Coast","Lake sockeye","Canoona","Conservation Unit","532","catch_quality","2"
"Central Coast","Lake sockeye","Canoona","Conservation Unit","532","dq_score","11"
"Central Coast","Lake sockeye","Canoona","Conservation Unit","532","survey_coverage","5"
"Central Coast","Lake sockeye","Canoona","Conservation Unit","532","survey_execution","3"
"Central Coast","Lake sockeye","Canoona","Conservation Unit","532","survey_quality","1"
"Central Coast","Lake sockeye","Cartwright Creek","Conservation Unit","546","catch_quality","0"
"Central Coast","Lake sockeye","Cartwright Creek","Conservation Unit","546","dq_score","0"
"Central Coast","Lake sockeye","Cartwright Creek","Conservation Unit","546","survey_coverage","0"
"Central Coast","Lake sockeye","Cartwright Creek","Conservation Unit","546","survey_execution","0"
"Central Coast","Lake sockeye","Cartwright Creek","Conservation Unit","546","survey_quality","0"
"Central Coast","Lake sockeye","Chic Chic","Conservation Unit","547","catch_quality","0"
"Central Coast","Lake sockeye","Chic Chic","Conservation Unit","547","dq_score","0"
"Central Coast","Lake sockeye","Chic Chic","Conservation Unit","547","survey_coverage","0"
"Central Coast","Lake sockeye","Chic Chic","Conservation Unit","547","survey_execution","0"
"Central Coast","Lake sockeye","Chic Chic","Conservation Unit","547","survey_quality","0"
"Central Coast","Lake sockeye","Citeyats","Conservation Unit","548","catch_quality","0"
"Central Coast","Lake sockeye","Citeyats","Conservation Unit","548","dq_score","0"
"Central Coast","Lake sockeye","Citeyats","Conservation Unit","548","survey_coverage","0"
"Central Coast","Lake sockeye","Citeyats","Conservation Unit","548","survey_execution","0"
"Central Coast","Lake sockeye","Citeyats","Conservation Unit","548","survey_quality","0"
"Central Coast","Lake sockeye","Curtis Inlet","Conservation Unit","550","catch_quality","2"
"Central Coast","Lake sockeye","Curtis Inlet","Conservation Unit","550","dq_score","11"
"Central Coast","Lake sockeye","Curtis Inlet","Conservation Unit","550","survey_coverage","5"
"Central Coast","Lake sockeye","Curtis Inlet","Conservation Unit","550","survey_execution","3"
"Central Coast","Lake sockeye","Curtis Inlet","Conservation Unit","550","survey_quality","1"
"Central Coast","Lake sockeye","Dallain Creek","Conservation Unit","551","catch_quality","0"
"Central Coast","Lake sockeye","Dallain Creek","Conservation Unit","551","dq_score","0"
"Central Coast","Lake sockeye","Dallain Creek","Conservation Unit","551","survey_coverage","0"
"Central Coast","Lake sockeye","Dallain Creek","Conservation Unit","551","survey_execution","0"
"Central Coast","Lake sockeye","Dallain Creek","Conservation Unit","551","survey_quality","0"
"Central Coast","Lake sockeye","Deer","Conservation Unit","552","catch_quality","0"
"Central Coast","Lake sockeye","Deer","Conservation Unit","552","dq_score","0"
"Central Coast","Lake sockeye","Deer","Conservation Unit","552","survey_coverage","0"
"Central Coast","Lake sockeye","Deer","Conservation Unit","552","survey_execution","0"
"Central Coast","Lake sockeye","Deer","Conservation Unit","552","survey_quality","0"
"Central Coast","Lake sockeye","Devon","Conservation Unit","553","catch_quality","2"
"Central Coast","Lake sockeye","Devon","Conservation Unit","553","dq_score","13"
"Central Coast","Lake sockeye","Devon","Conservation Unit","553","survey_coverage","5"
"Central Coast","Lake sockeye","Devon","Conservation Unit","553","survey_execution","5"
"Central Coast","Lake sockeye","Devon","Conservation Unit","553","survey_quality","1"
"Central Coast","Lake sockeye","Dome","Conservation Unit","533","catch_quality","0"
"Central Coast","Lake sockeye","Dome","Conservation Unit","533","dq_score","0"
"Central Coast","Lake sockeye","Dome","Conservation Unit","533","survey_coverage","0"
"Central Coast","Lake sockeye","Dome","Conservation Unit","533","survey_execution","0"
"Central Coast","Lake sockeye","Dome","Conservation Unit","533","survey_quality","0"
"Central Coast","Lake sockeye","Douglas Creek","Conservation Unit","554","catch_quality","0"
"Central Coast","Lake sockeye","Douglas Creek","Conservation Unit","554","dq_score","0"
"Central Coast","Lake sockeye","Douglas Creek","Conservation Unit","554","survey_coverage","0"
"Central Coast","Lake sockeye","Douglas Creek","Conservation Unit","554","survey_execution","0"
"Central Coast","Lake sockeye","Douglas Creek","Conservation Unit","554","survey_quality","0"
"Central Coast","Lake sockeye","Elizabeth","Conservation Unit","555","catch_quality","0"
"Central Coast","Lake sockeye","Elizabeth","Conservation Unit","555","dq_score","0"
"Central Coast","Lake sockeye","Elizabeth","Conservation Unit","555","survey_coverage","0"
"Central Coast","Lake sockeye","Elizabeth","Conservation Unit","555","survey_execution","0"
"Central Coast","Lake sockeye","Elizabeth","Conservation Unit","555","survey_quality","0"
"Central Coast","Lake sockeye","Elsie/Hoy","Conservation Unit","556","catch_quality","0"
"Central Coast","Lake sockeye","Elsie/Hoy","Conservation Unit","556","dq_score","0"
"Central Coast","Lake sockeye","Elsie/Hoy","Conservation Unit","556","survey_coverage","0"
"Central Coast","Lake sockeye","Elsie/Hoy","Conservation Unit","556","survey_execution","0"
"Central Coast","Lake sockeye","Elsie/Hoy","Conservation Unit","556","survey_quality","0"
"Central Coast","Lake sockeye","End Hill Creek","Conservation Unit","557","catch_quality","0"
"Central Coast","Lake sockeye","End Hill Creek","Conservation Unit","557","dq_score","0"
"Central Coast","Lake sockeye","End Hill Creek","Conservation Unit","557","survey_coverage","0"
"Central Coast","Lake sockeye","End Hill Creek","Conservation Unit","557","survey_execution","0"
"Central Coast","Lake sockeye","End Hill Creek","Conservation Unit","557","survey_quality","0"
"Central Coast","Lake sockeye","Evelyn","Conservation Unit","534","catch_quality","2"
"Central Coast","Lake sockeye","Evelyn","Conservation Unit","534","dq_score","15"
"Central Coast","Lake sockeye","Evelyn","Conservation Unit","534","survey_coverage","5"
"Central Coast","Lake sockeye","Evelyn","Conservation Unit","534","survey_execution","5"
"Central Coast","Lake sockeye","Evelyn","Conservation Unit","534","survey_quality","3"
"Central Coast","Lake sockeye","Evinrude Inlet","Conservation Unit","558","catch_quality","0"
"Central Coast","Lake sockeye","Evinrude Inlet","Conservation Unit","558","dq_score","0"
"Central Coast","Lake sockeye","Evinrude Inlet","Conservation Unit","558","survey_coverage","0"
"Central Coast","Lake sockeye","Evinrude Inlet","Conservation Unit","558","survey_execution","0"
"Central Coast","Lake sockeye","Evinrude Inlet","Conservation Unit","558","survey_quality","0"
"Central Coast","Lake sockeye","Fannie Cove","Conservation Unit","549","catch_quality","0"
"Central Coast","Lake sockeye","Fannie Cove","Conservation Unit","549","dq_score","0"
"Central Coast","Lake sockeye","Fannie Cove","Conservation Unit","549","survey_coverage","0"
"Central Coast","Lake sockeye","Fannie Cove","Conservation Unit","549","survey_execution","0"
"Central Coast","Lake sockeye","Fannie Cove","Conservation Unit","549","survey_quality","0"
"Central Coast","Lake sockeye","Freeda","Conservation Unit","559","catch_quality","0"
"Central Coast","Lake sockeye","Freeda","Conservation Unit","559","dq_score","0"
"Central Coast","Lake sockeye","Freeda","Conservation Unit","559","survey_coverage","0"
"Central Coast","Lake sockeye","Freeda","Conservation Unit","559","survey_execution","0"
"Central Coast","Lake sockeye","Freeda","Conservation Unit","559","survey_quality","0"
"Central Coast","Lake sockeye","Hartley Bay","Conservation Unit","560","catch_quality","2"
"Central Coast","Lake sockeye","Hartley Bay","Conservation Unit","560","dq_score","15"
"Central Coast","Lake sockeye","Hartley Bay","Conservation Unit","560","survey_coverage","5"
"Central Coast","Lake sockeye","Hartley Bay","Conservation Unit","560","survey_execution","5"
"Central Coast","Lake sockeye","Hartley Bay","Conservation Unit","560","survey_quality","3"
"Central Coast","Lake sockeye","Hevenor Inlet","Conservation Unit","561","catch_quality","0"
"Central Coast","Lake sockeye","Hevenor Inlet","Conservation Unit","561","dq_score","0"
"Central Coast","Lake sockeye","Hevenor Inlet","Conservation Unit","561","survey_coverage","0"
"Central Coast","Lake sockeye","Hevenor Inlet","Conservation Unit","561","survey_execution","0"
"Central Coast","Lake sockeye","Hevenor Inlet","Conservation Unit","561","survey_quality","0"
"Central Coast","Lake sockeye","Higgins Lagoon","Conservation Unit","562","catch_quality","0"
"Central Coast","Lake sockeye","Higgins Lagoon","Conservation Unit","562","dq_score","0"
"Central Coast","Lake sockeye","Higgins Lagoon","Conservation Unit","562","survey_coverage","0"
"Central Coast","Lake sockeye","Higgins Lagoon","Conservation Unit","562","survey_execution","0"
"Central Coast","Lake sockeye","Higgins Lagoon","Conservation Unit","562","survey_quality","0"
"Central Coast","Lake sockeye","Kadjusdis River","Conservation Unit","563","catch_quality","2"
"Central Coast","Lake sockeye","Kadjusdis River","Conservation Unit","563","dq_score","9"
"Central Coast","Lake sockeye","Kadjusdis River","Conservation Unit","563","survey_coverage","5"
"Central Coast","Lake sockeye","Kadjusdis River","Conservation Unit","563","survey_execution","2"
"Central Coast","Lake sockeye","Kadjusdis River","Conservation Unit","563","survey_quality","0"
"Central Coast","Lake sockeye","Kainet Creek","Conservation Unit","535","catch_quality","2"
"Central Coast","Lake sockeye","Kainet Creek","Conservation Unit","535","dq_score","13"
"Central Coast","Lake sockeye","Kainet Creek","Conservation Unit","535","survey_coverage","5"
"Central Coast","Lake sockeye","Kainet Creek","Conservation Unit","535","survey_execution","5"
"Central Coast","Lake sockeye","Kainet Creek","Conservation Unit","535","survey_quality","1"
"Central Coast","Lake sockeye","Kdelmashan Creek","Conservation Unit","564","catch_quality","0"
"Central Coast","Lake sockeye","Kdelmashan Creek","Conservation Unit","564","dq_score","0"
"Central Coast","Lake sockeye","Kdelmashan Creek","Conservation Unit","564","survey_coverage","0"
"Central Coast","Lake sockeye","Kdelmashan Creek","Conservation Unit","564","survey_execution","0"
"Central Coast","Lake sockeye","Kdelmashan Creek","Conservation Unit","564","survey_quality","0"
"Central Coast","Lake sockeye","Keecha","Conservation Unit","565","catch_quality","2"
"Central Coast","Lake sockeye","Keecha","Conservation Unit","565","dq_score","11"
"Central Coast","Lake sockeye","Keecha","Conservation Unit","565","survey_coverage","5"
"Central Coast","Lake sockeye","Keecha","Conservation Unit","565","survey_execution","3"
"Central Coast","Lake sockeye","Keecha","Conservation Unit","565","survey_quality","1"
"Central Coast","Lake sockeye","Kent Inlet Lagoon Creek","Conservation Unit","566","catch_quality","0"
"Central Coast","Lake sockeye","Kent Inlet Lagoon Creek","Conservation Unit","566","dq_score","0"
"Central Coast","Lake sockeye","Kent Inlet Lagoon Creek","Conservation Unit","566","survey_coverage","0"
"Central Coast","Lake sockeye","Kent Inlet Lagoon Creek","Conservation Unit","566","survey_execution","0"
"Central Coast","Lake sockeye","Kent Inlet Lagoon Creek","Conservation Unit","566","survey_quality","0"
"Central Coast","Lake sockeye","Kenzuwash Creeks","Conservation Unit","567","catch_quality","0"
"Central Coast","Lake sockeye","Kenzuwash Creeks","Conservation Unit","567","dq_score","0"
"Central Coast","Lake sockeye","Kenzuwash Creeks","Conservation Unit","567","survey_coverage","0"
"Central Coast","Lake sockeye","Kenzuwash Creeks","Conservation Unit","567","survey_execution","0"
"Central Coast","Lake sockeye","Kenzuwash Creeks","Conservation Unit","567","survey_quality","0"
"Central Coast","Lake sockeye","Keswar Creek","Conservation Unit","568","catch_quality","0"
"Central Coast","Lake sockeye","Keswar Creek","Conservation Unit","568","dq_score","0"
"Central Coast","Lake sockeye","Keswar Creek","Conservation Unit","568","survey_coverage","0"
"Central Coast","Lake sockeye","Keswar Creek","Conservation Unit","568","survey_execution","0"
"Central Coast","Lake sockeye","Keswar Creek","Conservation Unit","568","survey_quality","0"
"Central Coast","Lake sockeye","Kildidt Creek","Conservation Unit","569","catch_quality","0"
"Central Coast","Lake sockeye","Kildidt Creek","Conservation Unit","569","dq_score","0"
"Central Coast","Lake sockeye","Kildidt Creek","Conservation Unit","569","survey_coverage","0"
"Central Coast","Lake sockeye","Kildidt Creek","Conservation Unit","569","survey_execution","0"
"Central Coast","Lake sockeye","Kildidt Creek","Conservation Unit","569","survey_quality","0"
"Central Coast","Lake sockeye","Kildidt Lagoon Creek","Conservation Unit","570","catch_quality","0"
"Central Coast","Lake sockeye","Kildidt Lagoon Creek","Conservation Unit","570","dq_score","0"
"Central Coast","Lake sockeye","Kildidt Lagoon Creek","Conservation Unit","570","survey_coverage","0"
"Central Coast","Lake sockeye","Kildidt Lagoon Creek","Conservation Unit","570","survey_execution","0"
"Central Coast","Lake sockeye","Kildidt Lagoon Creek","Conservation Unit","570","survey_quality","0"
"Central Coast","Lake sockeye","Kimsquit","Conservation Unit","536","catch_quality","0"
"Central Coast","Lake sockeye","Kimsquit","Conservation Unit","536","dq_score","0"
"Central Coast","Lake sockeye","Kimsquit","Conservation Unit","536","survey_coverage","0"
"Central Coast","Lake sockeye","Kimsquit","Conservation Unit","536","survey_execution","0"
"Central Coast","Lake sockeye","Kimsquit","Conservation Unit","536","survey_quality","0"
"Central Coast","Lake sockeye","Kisameet","Conservation Unit","571","catch_quality","0"
"Central Coast","Lake sockeye","Kisameet","Conservation Unit","571","dq_score","0"
"Central Coast","Lake sockeye","Kisameet","Conservation Unit","571","survey_coverage","0"
"Central Coast","Lake sockeye","Kisameet","Conservation Unit","571","survey_execution","0"
"Central Coast","Lake sockeye","Kisameet","Conservation Unit","571","survey_quality","0"
"Central Coast","Lake sockeye","Kitkiata","Conservation Unit","537","catch_quality","0"
"Central Coast","Lake sockeye","Kitkiata","Conservation Unit","537","dq_score","0"
"Central Coast","Lake sockeye","Kitkiata","Conservation Unit","537","survey_coverage","0"
"Central Coast","Lake sockeye","Kitkiata","Conservation Unit","537","survey_execution","0"
"Central Coast","Lake sockeye","Kitkiata","Conservation Unit","537","survey_quality","0"
"Central Coast","Lake sockeye","Kitlope","Conservation Unit","538","catch_quality","2"
"Central Coast","Lake sockeye","Kitlope","Conservation Unit","538","dq_score","12"
"Central Coast","Lake sockeye","Kitlope","Conservation Unit","538","survey_coverage","5"
"Central Coast","Lake sockeye","Kitlope","Conservation Unit","538","survey_execution","5"
"Central Coast","Lake sockeye","Kitlope","Conservation Unit","538","survey_quality","0"
"Central Coast","Lake sockeye","Koeye","Conservation Unit","572","catch_quality","0"
"Central Coast","Lake sockeye","Koeye","Conservation Unit","572","dq_score","0"
"Central Coast","Lake sockeye","Koeye","Conservation Unit","572","survey_coverage","0"
"Central Coast","Lake sockeye","Koeye","Conservation Unit","572","survey_execution","0"
"Central Coast","Lake sockeye","Koeye","Conservation Unit","572","survey_quality","0"
"Central Coast","Lake sockeye","Kooryet","Conservation Unit","573","catch_quality","2"
"Central Coast","Lake sockeye","Kooryet","Conservation Unit","573","dq_score","11"
"Central Coast","Lake sockeye","Kooryet","Conservation Unit","573","survey_coverage","5"
"Central Coast","Lake sockeye","Kooryet","Conservation Unit","573","survey_execution","4"
"Central Coast","Lake sockeye","Kooryet","Conservation Unit","573","survey_quality","0"
"Central Coast","Lake sockeye","Kunsoot River","Conservation Unit","574","catch_quality","0"
"Central Coast","Lake sockeye","Kunsoot River","Conservation Unit","574","dq_score","0"
"Central Coast","Lake sockeye","Kunsoot River","Conservation Unit","574","survey_coverage","0"
"Central Coast","Lake sockeye","Kunsoot River","Conservation Unit","574","survey_execution","0"
"Central Coast","Lake sockeye","Kunsoot River","Conservation Unit","574","survey_quality","0"
"Central Coast","Lake sockeye","Kwakwa Creek","Conservation Unit","575","catch_quality","0"
"Central Coast","Lake sockeye","Kwakwa Creek","Conservation Unit","575","dq_score","0"
