L,AQmean,"Mean age data quality for the spatial unit, including only return years for which R/S was calculated",,,,,
M,RQmean,"Mean R/S data quality for the spatial unit, reported by return year",,,,,
N,"Data quality (Grant & Pestal 2012, p.35)","Definitions given in next five rows (Grant & Pestal 2012, p. 35); these apply to spawner enumeration only. The categories themselves come from Appendix 2 (Grant and Pestal 2012); not to be confused with the data quality categorizations developed for this database",,,,,
N,(continued),Excellent:  an unbreached fence estimate with extremely high accuracy given an almost complete census of counts.,,,,,
N,(continued),"Very good:  an estimate of high reliability using mark recapture methods, DIDSON methods, or near-complete fence counts that have relatively high accuracy and precision. Visual surveys that have been calibrated with local fence programs.",,,,,
N,(continued),Good:  four or more visual inspections with good visibility.,,,,,
N,(continued),Fair:  an estimate using two or more visual inspections that occur during peak spawning where fish visibility is reasonable; methodology and dat quality varies across the time series in terms of good to poor quality.,,,,,
N,(continued),"Poor: An estimate with poor accuracy due to poor counting conditions, few surveys (one or two in a given yerar), incomplete time series, etc.",,,,,
O,Source of comments,"Source of comments in this section (i.e., under Comments header)",,,,,
P,Perct.streams,"Same definition as shown in ""Perct.streams"" above for the Main database",,,,,
Q,Escapement (comments),Notes regarding escapement estimates,,,,,
R,Return (comments),Notes regarding estimates of returns (escapement + catch in return year),,,,,
S,Age structure (comments),Notes regarding age structure estimatation,,,,,
T,Recruitment (comments),Notes regarding recruitment estimatation,,,,,
U,Exploitation rate (comments),Notes regarding exploitation rate estimates,,,,,
V,Catch (comments),"Notes regarding catch estimates: Summary of available information (if any) about how the catch data were estimated; many of these comments are not helpful, but they are all that was given that related to catch.",,,,,
W,"Stock, general (comments)","General notes about the stock, especially metadata regarding stock productivity",,,,,
X,PFMA where CU caught,"Applies only to NCC; Pacific Fisheries Management Area where the CU is caught, according to English et al. (2012), Tables 2-4",,,,,
Salmon_RS_Decadal_Summary,Salmon_RS_Decadal_Summary,Salmon_RS_Decadal_Summary,,,,,
A,Species,,,,,,
B,Decade,,,,,,
C,DataQualityType,"SQ, CQ, AQ, and RQ; values range from <1 (Poor) to 5 (Excellent)",,,,,
