Area,Species,PFMA,CU or PFMA or aggregate,CUs caught in PFMA,Source,Year,EFS,Spawner,Returns,ExplRate,Catch,Ret0.1,Ret0.2,Ret1.1,Ret0.3,Ret1.2,Ret2.1,Ret0.4,Ret1.3,Ret2.2,Ret0.5,Ret1.4,Ret2.3,Ret0.6,Ret2.4,NRec0.1,NRec0.2,NRec1.1,NRec0.3,NRec1.2,NRec2.1,NRec0.4,NRec1.3,NRec2.2,NRec0.5,NRec1.4,NRec2.3,NRec0.6,NRec2.4,NTotRec,R/S,R/EFS,Metadata source,Esc comm,Catch comm,Age comm,Prod comm,SQ,CQ,AQ,RQ,SQ notes,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1951,51413,,,,,,,,,,,,,,,,,,,,,26,,354049,,,101292,,,,,,,455367,,8.86,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1952,19920,,,,,,,,,,,,,,,,,,,,,23,,93984,,,16694,,,,,,,110701,,5.56,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1953,20388,,,,,,,,,,,,,,,,,,,,,30,,156192,,,18023,,,,,,,174245,,8.55,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1954,72273,,,,,,,,,,,,,,,,,,,,,3311,,1140205,,,67783,,,,,,,1211299,,16.76,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1955,29937,,,,,,,,,,,,,,,,,,,,,28,,602677,,,27091,,,,,,,629796,,21.04,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1956,21686,,,,,,,,,,,,,,,,,,,,,92,,220400,,,26243,,,,,,,246735,,11.38,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1957,18044,,,,,,,,,,,,,,,,,,,,,8,,143835,,,8000,,,,,,,151843,,8.42,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1958,61581,,,,,,,,,,,,,,,,,,,,,1156,,323089,,,16215,,,,,,,340460,,5.53,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1959,41872,,,,,,,,,,,,,,,,,,,,,17,,514918,,,26485,,,,,,,541420,,12.93,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1960,22718,,,,,,,,,,,,,,,,,,,,,19,,143340,,,21155,,,,,,,164514,,7.24,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1961,18136,,,,,,,,,,,,,,,,,,,,,288,,137046,,,10068,,,,,,,147402,,8.13,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1962,44532,,,,,,,,,,,,,,,,,,,,,100,,572029,,,17376,,,,,,,589505,,13.24,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1963,41535,,,,,,,,,,,,,,,,,,,,,977,,713487,,,13462,,,,,,,727926,,17.53,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1964,16161,,,,,,,,,,,,,,,,,,,,,194,,170674,,,6969,,,,,,,177837,,11,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1965,20479,,,,,,,,,,,,,,,,,,,,,179,,231100,,,12372,,,,,,,243651,,11.9,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1966,51509,,,,,,,,,,,,,,,,,,,,,833,,336316,,,22757,,,,,,,359906,,6.99,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1967,32467,,,,,,,,,,,,,,,,,,,,,288,,531886,,,18350,,,,,,,550524,,16.96,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1968,13680,,,,,,,,,,,,,,,,,,,,,85,,125900,,,3837,,,,,,,129822,,9.49,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1969,25629,,,,,,,,,,,,,,,,,,,,,131,,235729,,,17385,,,,,,,253245,,9.88,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1970,26727,,,,,,,,,,,,,,,,,,,,,1170,,228808,,,4130,,,,,,,234108,,8.76,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1971,20147,,,,,,,,,,,,,,,,,,,,,496,,508759,,,0,,,,,,,509255,,25.28,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1972,19938,,,,,,,,,,,,,,,,,,,,,204,,711226,,,44784,,,,,,,756214,,37.93,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1973,15424,,,,,,,,,,,,,,,,,,,,,11,,75813,,,10077,,,,,,,85901,,5.57,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1974,23718,,,,,,,,,,,,,,,,,,,,,1823,,281752,,,19534,,,,,,,303109,,12.78,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1975,68451,,,,,,,,,,,,,,,,,,,,,3852,,1832708,,,64645,,,,,,,1901205,,27.77,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1976,63865,,,,,,,,,,,,,,,,,,,,,150,,216701,,,27506,,,,,,,244357,,3.83,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1977,10894,,,,,,,,,,,,,,,,,,,,,74,,209138,,,56488,,,,,,,265700,,24.39,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1978,32528,,,,,,,,,,,,,,,,,,,,,860,,388505,,,48040,,,,,,,437405,,13.45,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1979,152583,,,,,,,,,,,,,,,,,,,,,31,,478737,,,145156,,,,,,,623924,,4.09,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1980,28477,,,,,,,,,,,,,,,,,,,,,207,,535944,,,219255,,,,,,,755406,,26.53,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1981,12030,,,,,,,,,,,,,,,,,,,,,28,,234136,,,51734,,,,,,,285898,,23.77,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1982,34888,,,,,,,,,,,,,,,,,,,,,1900,,309369,,,46504,,,,,,,357773,,10.25,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1983,61357,,,,,,,,,,,,,,,,,,,,,1129,,1097744,,,158607,,,,,,,1257480,,20.49,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1984,32672,,,,,,,,,,,,,,,,,,,,,170,,744589,,,266430,,,,,,,1011189,,30.95,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1985,21969,,,,,,,,,,,,,,,,,,,,,87,,97659,,,30996,,,,,,,128742,,5.86,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1986,44564,,,,,,,,,,,,,,,,,,,,,23,,445398,,,116424,,,,,,,561845,,12.61,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
BC,Sockeye,,Francois/Fraser_Summer,,Sue Grant July 2014,1987,98179,,,,,,,,,,,,,,,,,,,,,14,,353471,,,82191,,,,,,,435676,,4.44,Grant et al. (2011),Esc. enumeration by mark-recapture (1950-1993).,,,,4,2,3,3.25,,,,,,,
