Species,Area,Area unit,CU or PFMA,CU type,Data source,R/S first year,R/S last year,R/S missing,Total years,SQmean,CQmean,AQmean,RQmean,"Data quality (Grant & Pestal 2012, p.35)",Source of comments,Perct.streams,Escapement (comments),Return (comments),Age structure (comments),Recruitment (comments),Exploitation rate (comments),Catch (comments),"Stock, general (comments)",PFMA where CU caught
Sockeye,Fraser,CU,North Barriere_Early Summer,Bin,S.Grant (Jan13-2014),1967,2006,,40,3.0,2.2,3.0,2.8,Good,Grant et al. (2011),,"peak live cumulative dead visual survey methods, no gap filling required",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"Not considered a ""true"" CU because it began from hatchery transplants into the system. Time series reported in data sheets starting in 1967, when the Barrier dam (below Fennel Cr.) was removed; after the dam removal, the population (founded on hatchery-origin transplants) built up gradually to a maximum in the 1990s.",
Sockeye,Fraser,CU,Pitt_Early Summer,Current,S.Grant (Jan13-2014),1950,2006,,57,4.0,2.1,3.0,3.3,Very Good,Grant et al. (2011),,mark-recapture methods; no gap-filling required in the escapement time series.,,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"River is flashy, e.g., flood event in early 1980s cut out half of the Pitt mainsteam from spawning and flushed out much of remaining good spawning gravel; hatchery-enhanced; S-R time series includes fish removed for hatchery enhancement [counts are presumably done before broodstock removal]. CU is hatchery-enhanced to mitigate the effects of flooding, and the associated production impacts.",
Sockeye,Fraser,CU,Quesnel_Summer,Current,S.Grant (Jan13-2014),1950,2006,,57,3.9,2.1,3.0,3.3,Very Good,Grant et al. (2011),,"Mitchell peak live cumulative dead visual methods, and starting in 1989 mark-recapture used in dominant and sub-dominant years, and in 2009 DIDSON methods. All the Horsefly sites assessed using peak live cumulative dead visual methods, and, in recent years (post-1980), were largely assessed with mark recapture methods; enumeration fences were used on the Lower McKinley and McKinley sites sporadically post-1989. [more: see Grant et al. 2011] Gaps were filled based on relationships between all these sites using either the two weak cycles, the dominant cycle or subdominant cycle years from 1980 to 2009.",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"Spawning channel beside Horsefly R has capacity of 12,200 female spawners, currently operated during sub-dominant and off-years, and occasionally on dominant cycle years (1989, 1993, 2009); channel component of population is small relative to natural Horsefly R. population. High pre-spawn mortality in Horsefly sockeye, especially 1961 (bacterial infection) & 1969 (bacterial gill disease). high pre-spawn mortality in Horsefly sockeye due to earlier timing. Horsefly channel component is small compared to natural Horsefly population [so notes about when it was operated are not provided in the metadata column in the sockeye data sheet, but for detail, see Grant et al. (2011)].",
Sockeye,Fraser,CU,Seton_Late,Bin,S.Grant (Jan13-2014),1965,2006,,42,3.0,2.2,3.0,2.8,Good,Grant et al. (2011),,peak live-cumulative dead visual surveys; no gap filling required. ,,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"Fishway and tailrace associated with Seton Dam may impede migration and cause physiological stress to sockeye spawners and there is approx. 10% mortality of oumigrating smolts in the dam turbines. 1965, beginning of reported time series, was when hatchery transplants from lower Adams R. became established in Seton system.",
Sockeye,Fraser,CU,Shuswap Complex_Late,Current,S.Grant (Jan13-2014),1950,2006,,57,4.0,2.1,3.0,3.3,Very Good,Grant et al. (2011),,"Adams River has 70% of total EFS of the CU & required no gap-filling, from 1950-1963 mark-recapture usually used to assess total abundance, and also from 1964-1984, except for the off-cycle year (cycle 3), which was assessed with peak-live cumulative-dead methods; from 1985-2009, cycle lines 3 and 4 were assessed using peak live cumulative dead visual methods and cycles 1 and 2 were assessed using mark-recapture. Adams channel was excluded from the esc. time series due to sparse data and neglibible abundances. Little River (10% of total EFS in CU), usually assessed using peak live, cumulative dead visual methods or recovery expansions, but after 1998, mark recapture used for the dominant cycle and peak live cumulative dead surveys for all other cycle lines , no gaps in time series. The remaining sites used in trends in abundance assessment comprised 13% of the total EFS for the CU [for details on escapements in those 7 water bodies, see Grant et al. 2011].",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,,
Sockeye,Fraser,CU,Shuswap_Early Summer,Current,S.Grant (Jan13-2014),1980,2006,,27,4.0,2.3,3.0,3.3,Very Good,Grant et al. (2011),,"Seymour Cr. no gaps, mark-recapture for large esc. years, and peak live cumulative dead visual surveys for smaller escapement years; Scotch enumerated by peak live cumulative dead methods (except 1990, which was mark recapture); McNomee population estimates rolled into Seymour [not specified how they were enumerated, but presumably same as for Seymour], required no gap-filling.",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,Seymour & Scotch made up 75% of total escapement of CU from 1994-2009; other waterbodies were enumerated but not included in the analysis of CU status because of inconsistent enumeration & small populations. ,
Sockeye,Fraser,CU,Takla/Trembleur/Stuart_Summer,Current,S.Grant (Jan13-2014),1950,2006,,57,4.0,2.1,3.0,3.3,Very Good,Grant et al. (2011),,"Middle R. and Kazchek Cr. were included for the Takla-Trembleur system, and make up almost 100% of the abundance of that system; both have nearly complete abundance time series. Middle R. generally assessed using mark-recapture methods on dominant years and peak live cumulative dead surveys on the other three cycle lines; Kazchek Cr was assessed using peak live cumulative dead visual surveys, and was gap-flled for 1984 using its relationship with Middle R., according to the Mean Proportion Method (see Appendices 2&5 in Grant et al. 2011). Two Stuart Lk. sites also included in this CU: Tachie R, and Kuzkwa R, both consistently assessed with relatively complete time series, together representing >96% of total escapement for Stuart Lk. Tachie escapement enumeration was mark recapture on dominant cycles and peak live cumulative dead air surveys for the other three cycle lines until 1992, then mark recaptures more frequently  on roughtly two out of the four cycle years; no gap filling required for Tachie. Kukwa assessed using peak live cumulative dead survey methods (rafting surveys then helicopter surveys starting in the 1960s), although only one survey was conducted ""in the early time series, coinciding with peak spawn"" even though it usually takes two days to assess properly, but up to three surveys were conducted in larger abundance years, starting in 1997; gap-filled only in 1956. [NB the Jan 13, 2014 SR data  S.Grant gave us starts in 1950, but the metadata suggests that the data started in 1953 and ""the mid-1950s"". However, under ""Abundance"" (p.85) they do switch gears and mention 1950-2004.]",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"Log-driving on the Tachie R. started in the 1960s until ? [exact date not given, but later than 1968].",
Sockeye,Fraser,CU,Takla/Trembleur_Early Stuart,Current,S.Grant (Jan13-2014),1950,2006,,57,4.0,2.1,3.0,3.3,Very Good,Grant et al. (2011),,"four key sites in the CU have been enumerated consistently (Forfar, Gluske, Kynoch and Rossette Crs), assessed largely using peak live cumulative dead visual surveys and some mark recapture surveys [for details see Grant et al. 2011]; data from counting fence enumeration have been used to develop expansion factors for all other streams in the CU that were assessed using peak live cumulative dead visual methods. [For details on enumeration of individual water bodies, see Grant et al. 2011.]",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"Delayed migration in 1955 and 1960 due to late freshet caused low escapements. Fishways were constructed between 1945 and the mid-1960s, but en-route losses also occurred in 1962-1968, and low abundances in 1996-1999 were due to weather conditions. ",
Sockeye,Southern-inside (non-Fraser),CU,Osoyoos,Current,Margot Stockwell/Kim Hyatt (May 2014),1985,2007,,23,3.4,4.0,3.6,3.6,,,,"Escapement estimates using AUC in Okanagan River where the sockeye spawn (spreadsheet ""Smith_Sockeye_Returns_&_Forecasts_ 2014.xlsx"" & M. Stockwell, pers.comm.), therefore presumably all age classes. For more detail, see Stockwell-Hyatt numerous Canadian Data Report of Fisheries and Aquatic Sciences.","Calculated by AO based on catch and escapement in return year, available from M.Stockwell and K.Hyatt May 2014.",,"Calculated by AO based on age structure, catch and escapement available from M.Stockwell and K.Hyatt May 2014.",,,,
Sockeye,Southern-outside,CU,Great Central Lake,Current,Diana Dobson (June 2014),1977,2007,,31,3.9,2.5,4.0,3.6,,Diana Dobson 2 June 2014,,"Escapement is adult spawners only, leaving out Gilbert-Rich ages 3.2 and 4.3 (pers.comm. Erin Porszt June 23, 2014, and evident from worksheets)","Returns (catch+esc) included all age classes of spawning escapement, not just adults (by inspection from data sheets).","50-100 spawners are sampled weekly during the run for scales for ageing, and age composition is applied daily to spawners enumerated at each site, to generate yearly totals (E.Porszt, pers.comm June 2014).",,,"Recruits per spawner over-estimated until return year 2011 because an unknown, but small amount of the catch was from Henderson, but Henderson-origin catch was removed from 2012-2013 catch using DNA results (from input data sheet); catch data includes commercial, recreational and First Nations (DFO 2012)",Lake fertilization occurred in 1970-1973 and 1977-2012 (DFO 2012),
Sockeye,Southern-outside,CU,Sproat Lake,Current,Diana Dobson (June 2014),1977,2007,,31,3.9,2.5,4.0,3.6,,Diana Dobson 2 June 2014,,"Escapement is adult spawners only, leaving out Gilbert-Rich ages 3.2 and 4.3 (pers.comm. Erin Porszt June 23, 2014, and evident from worksheets)","Returns (catch + esc) included all age classes of spawning escapement, not just adults (by inspection from data sheets).","50-100 spawners are sampled weekly during the run for scales for ageing, and age composition is applied daily to spawners enumerated at each site, to generate yearly totals (E.Porszt, pers.comm June 2014).",,,"Recruits per spawner over-estimated until return year 2011 because an unknown, but small amount of the catch was from Henderson, but Henderson-origin catch was removed from 2012-2013 catch using DNA results (from input data sheet); catch data includes commercial, recreational and First Nations (DFO 2012)",Lake fertilization in part of 1985 and summer 1986 (DFO 2012),
Sockeye,North and Central Coast,CU,Alastair,Current,Karl English 23June 2014,1957,2006,5,45,2.0,3.0,2.0,2.3,,,<90,"2 indicator streams out of 3 total in the CU (English et al. 2012, Table 2)",,average annual age composition used for whole CU (by inspection from data sheets),,"For 1960-1981, annual expl. rate was based on Les Jantz's data (provided to English by Steve Cox-Rogers), combined with expansion of his escapement estimates by 111%, which then led to decreased expl. rate estimates (Enlgish 2013, p.3-4). For 1982-2009: Exploitation rate estimates in the NBSRRM for Skeena (Area 4) CUs were based on average migration timing of CU, as an offset added to the ""median"" timing (according to the DNA samples from the Tyee test fishery (Cox-Rogers 2012)) for statistical area 4 in each year (English 2013, Table 1, p.2; p.2 says ""median""; p.52 of English et al. 2012 says ""mean"" run timing) AND the Skeena Sockeye In-River model (English 2013, p.4; see English et al. 2013 for the model itself); estimate includes US exploitation for Area 4 CUs. Total exploitation rate includes harvest in freshwater (English et al 2012, p.53). Same annual total exploitation rate applied to most Skeena CUs (by inspection of data sheets).",catch estimated by CU as (annual catch in CU) = (annual escapement in CU) * (exploitation rate for statistical area) / (1-expl. rate for stat. area).,,4
Sockeye,North and Central Coast,CU,Awun,Current,Karl English 23June 2014,1977,2004,,28,2.0,1.0,2.0,1.8,,,<60,"1 indicator stream out of 8 total in the CU (English et al. 2012, Table 2)",,same average annual age composition used for both Awun and Marian (by inspection from data sheets),,"CDN exp.rate set at 20%; no US harvest (English et al. 2012, Table 1)",catch estimated by CU as (annual catch in CU) = (annual escapement in CU) * (exploitation rate for statistical area) / (1-expl. rate for stat. area).,,1
Sockeye,North and Central Coast,CU,Azuklotz,Current,Karl English 23June 2014,1957,1998,25,17,2.0,3.0,2.0,2.3,,,>90,"1 indicator stream out of 1 total in the CU (English et al. 2012, Table 2)",,"same average annual age composition for Prudhomme, Shawatlan, Johnston, Kitsumkalum, Lakelse, Mcdonnel, Stephens, Swan, Asitika, Azuklotz, Bear, Damshilgwit, Motase, and Skeena River-high interior (by inspection from data sheets)",,"For 1960-1981, annual expl. rate was based on Les Jantz's data (provided to English by Steve Cox-Rogers), combined with expansion of his escapement estimates by 111%, which then led to decreased expl. rate estimates (Enlgish 2013, p.3-4). For 1982-2009: Exploitation rate estimates in the NBSRRM for Skeena (Area 4) CUs were based on average migration timing of CU, as an offset added to the ""median"" timing (according to the DNA samples from the Tyee test fishery (Cox-Rogers 2012)) for statistical area 4 in each year (English 2013, Table 1, p.2; p.2 says ""median""; p.52 of English et al. 2012 says ""mean"" run timing) AND the Skeena Sockeye In-River model (English 2013, p.4; see English et al. 2013 for the model itself); estimate includes US exploitation for Area 4 CUs. Total exploitation rate includes harvest in freshwater (English et al 2012, p.53). Same annual total exploitation rate applied to most Skeena CUs (by inspection of data sheets).",catch estimated by CU as (annual catch in CU) = (annual escapement in CU) * (exploitation rate for statistical area) / (1-expl. rate for stat. area).,,4
Sockeye,North and Central Coast,subset of CU,Babine-Early-Wild (subset of Babine Complex),Current,Karl English 23June 2014,1960,2005,,46,2.0,3.0,4.0,2.8,,,<60,"For all of Babine: 9 indicator streams out of 33 total in the CU (English et al. 2012, Table 2)",,yearly (by inspection from data sheets),,"For 1960-1981, annual expl. rate was based on Les Jantz's data (provided to English by Steve Cox-Rogers), combined with expansion of his escapement estimates by 111%, which then led to decreased expl. rate estimates (Enlgish 2013, p.3-4). For 1982-2009: Exploitation rate estimates in the NBSRRM for Skeena (Area 4) CUs were based on average migration timing of CU, as an offset added to the ""median"" timing (according to the DNA samples from the Tyee test fishery (Cox-Rogers 2012)) for statistical area 4 in each year (English 2013, Table 1, p.2; p.2 says ""median""; p.52 of English et al. 2012 says ""mean"" run timing) AND the Skeena Sockeye In-River model (English 2013, p.4; see English et al. 2013 for the model itself); estimate includes US exploitation for Area 4 CUs. Total exploitation rate includes harvest in freshwater (English et al 2012, p.53). Same annual total exploitation rate applied to most Skeena CUs (by inspection of data sheets).",catch estimated by CU as (annual catch in CU) = (annual escapement in CU) * (exploitation rate for statistical area) / (1-expl. rate for stat. area).,,4
Sockeye,North and Central Coast,subset of CU,Babine-Fulton (part of Babine Complex),Current,Karl English 23June 2014,1960,2005,,46,2.0,3.0,4.0,2.8,,,<60,"For all of Babine: 9 indicator streams out of 33 total in the CU (English et al. 2012, Table 2)",,yearly (by inspection from data sheets),,"For 1960-1981, annual expl. rate was based on Les Jantz's data (provided to English by Steve Cox-Rogers), combined with expansion of his escapement estimates by 111%, which then led to decreased expl. rate estimates (Enlgish 2013, p.3-4). For 1982-2009: Exploitation rate estimates in the NBSRRM for Skeena (Area 4) CUs were based on average migration timing of CU, as an offset added to the ""median"" timing (according to the DNA samples from the Tyee test fishery (Cox-Rogers 2012)) for statistical area 4 in each year (English 2013, Table 1, p.2; p.2 says ""median""; p.52 of English et al. 2012 says ""mean"" run timing) AND the Skeena Sockeye In-River model (English 2013, p.4; see English et al. 2013 for the model itself); estimate includes US exploitation for Area 4 CUs. Total exploitation rate includes harvest in freshwater (English et al 2012, p.53). Same annual total exploitation rate applied to most Skeena CUs (by inspection of data sheets).",catch estimated by CU as (annual catch in CU) = (annual escapement in CU) * (exploitation rate for statistical area) / (1-expl. rate for stat. area).,,4
Sockeye,North and Central Coast,subset of CU,Babine-Late-Wild (part of Babine Complex),Current,Karl English 23June 2014,1960,2005,,46,2.0,3.0,4.0,2.8,,,<60,"For all of Babine: 9 indicator streams out of 33 total in the CU (English et al. 2012, Table 2)",,yearly (by inspection from data sheets),,"For 1960-1981, annual expl. rate was based on Les Jantz's data (provided to English by Steve Cox-Rogers), combined with expansion of his escapement estimates by 111%, which then led to decreased expl. rate estimates (Enlgish 2013, p.3-4). For 1982-2009: Exploitation rate estimates in the NBSRRM for Skeena (Area 4) CUs were based on average migration timing of CU, as an offset added to the ""median"" timing (according to the DNA samples from the Tyee test fishery (Cox-Rogers 2012)) for statistical area 4 in each year (English 2013, Table 1, p.2; p.2 says ""median""; p.52 of English et al. 2012 says ""mean"" run timing) AND the Skeena Sockeye In-River model (English 2013, p.4; see English et al. 2013 for the model itself); estimate includes US exploitation for Area 4 CUs. Total exploitation rate includes harvest in freshwater (English et al 2012, p.53). Same annual total exploitation rate applied to most Skeena CUs (by inspection of data sheets).",catch estimated by CU as (annual catch in CU) = (annual escapement in CU) * (exploitation rate for statistical area) / (1-expl. rate for stat. area).,,4
Sockeye,North and Central Coast,subset of CU,Babine-Mid-Wild (part of Babine Complex),Current,Karl English 23June 2014,1960,2005,,46,2.0,3.0,4.0,2.8,,,<60,"For all of Babine: 9 indicator streams out of 33 total in the CU (English et al. 2012, Table 2)",,yearly (by inspection from data sheets),,"For 1960-1981, annual expl. rate was based on Les Jantz's data (provided to English by Steve Cox-Rogers), combined with expansion of his escapement estimates by 111%, which then led to decreased expl. rate estimates (Enlgish 2013, p.3-4). For 1982-2009: Exploitation rate estimates in the NBSRRM for Skeena (Area 4) CUs were based on average migration timing of CU, as an offset added to the ""median"" timing (according to the DNA samples from the Tyee test fishery (Cox-Rogers 2012)) for statistical area 4 in each year (English 2013, Table 1, p.2; p.2 says ""median""; p.52 of English et al. 2012 says ""mean"" run timing) AND the Skeena Sockeye In-River model (English 2013, p.4; see English et al. 2013 for the model itself); estimate includes US exploitation for Area 4 CUs. Total exploitation rate includes harvest in freshwater (English et al 2012, p.53). Same annual total exploitation rate applied to most Skeena CUs (by inspection of data sheets).",catch estimated by CU as (annual catch in CU) = (annual escapement in CU) * (exploitation rate for statistical area) / (1-expl. rate for stat. area).,,4
Sockeye,North and Central Coast,subset of CU,Babine-Pinkut (part of Babine Complex),Current,Karl English 23June 2014,1960,2005,,46,2.0,3.0,4.0,2.8,,,<60,"For all of Babine: 9 indicator streams out of 33 total in the CU (English et al. 2012, Table 2)",,yearly (by inspection from data sheets),,"For 1960-1981, annual expl. rate was based on Les Jantz's data (provided to English by Steve Cox-Rogers), combined with expansion of his escapement estimates by 111%, which then led to decreased expl. rate estimates (Enlgish 2013, p.3-4). For 1982-2009: Exploitation rate estimates in the NBSRRM for Skeena (Area 4) CUs were based on average migration timing of CU, as an offset added to the ""median"" timing (according to the DNA samples from the Tyee test fishery (Cox-Rogers 2012)) for statistical area 4 in each year (English 2013, Table 1, p.2; p.2 says ""median""; p.52 of English et al. 2012 says ""mean"" run timing) AND the Skeena Sockeye In-River model (English 2013, p.4; see English et al. 2013 for the model itself); estimate includes US exploitation for Area 4 CUs. Total exploitation rate includes harvest in freshwater (English et al 2012, p.53). Same annual total exploitation rate applied to most Skeena CUs (by inspection of data sheets).",catch estimated by CU as (annual catch in CU) = (annual escapement in CU) * (exploitation rate for statistical area) / (1-expl. rate for stat. area).,,4
Sockeye,North and Central Coast,CU,Bear,Current,Karl English 23June 2014,1957,1995,27,12,1.5,3.0,2.0,2.0,,,>90,"1 indicator stream out of 1 total in the CU (English et al. 2012, Table 2)",,"same average annual age composition for Prudhomme, Shawatlan, Johnston, Kitsumkalum, Lakelse, Mcdonnel, Stephens, Swan, Asitika, Azuklotz, Bear, Damshilgwit, Motase, and Skeena River-high interior (by inspection from data sheets)",,"For 1960-1981, annual expl. rate was based on Les Jantz's data (provided to English by Steve Cox-Rogers), combined with expansion of his escapement estimates by 111%, which then led to decreased expl. rate estimates (Enlgish 2013, p.3-4). For 1982-2009: Exploitation rate estimates in the NBSRRM for Skeena (Area 4) CUs were based on average migration timing of CU, as an offset added to the ""median"" timing (according to the DNA samples from the Tyee test fishery (Cox-Rogers 2012)) for statistical area 4 in each year (English 2013, Table 1, p.2; p.2 says ""median""; p.52 of English et al. 2012 says ""mean"" run timing) AND the Skeena Sockeye In-River model (English 2013, p.4; see English et al. 2013 for the model itself); estimate includes US exploitation for Area 4 CUs. Total exploitation rate includes harvest in freshwater (English et al 2012, p.53). Same annual total exploitation rate applied to most Skeena CUs (by inspection of data sheets).",catch estimated by CU as (annual catch in CU) = (annual escapement in CU) * (exploitation rate for statistical area) / (1-expl. rate for stat. area).,,4
Sockeye,North and Central Coast,CU,Bloomfield,Current,Karl English 23June 2014,1977,2005,4,25,2.0,1.0,2.0,1.8,,,>90,"1 indicator stream out of 1 total in the CU (English et al. 2012, Table 2)",,"same average annual age composition used for Backland, Canoona, Evelyn, Kitlope, Bloomfield, Curtis Inlet, Devon, Freeda, Hartley Bay, Keecha, Kooryet, Lowe/Simpson/Weir, Mikado, and Tsimtack/Moor/Roger (by inspection from data sheets)",,"For Areas 6-10, the same exploitation rate is used for all CUs in a given statistical area (by inspection of the input data sheets); see ""other"" comments column for which CUs are part of these statistical areas; no US exploitation for these stocks (English et al. 2012, Table 1).","For Areas 6-10, the same exploitation rate is used for all CUs in a given statistical area (by inspection of the input data sheets); catch estimated by CU as (annual catch in CU) = (annual escapement in CU) * (exploitation rate for statistical area) / (1-expl. rate for stat. area).",,6
Sockeye,North and Central Coast,CU,Canoona,Current,Karl English 23June 2014,1977,2005,3,26,2.0,1.0,2.0,1.8,,,>90,"1 indicator stream out of 1 total in the CU (English et al. 2012, Table 2)",,"same average annual age composition used for Backland, Canoona, Evelyn, Kitlope, Bloomfield, Curtis Inlet, Devon, Freeda, Hartley Bay, Keecha, Kooryet, Lowe/Simpson/Weir, Mikado, and Tsimtack/Moor/Roger",,"For Areas 6-10, the same exploitation rate is used for all CUs in a given statistical area (by inspection of the input data sheets); see ""other"" comments column for which CUs are part of these statistical areas; no US exploitation for these stocks (English et al. 2012, Table 1).","For Areas 6-10, the same exploitation rate is used for all CUs in a given statistical area (by inspection of the input data sheets); catch estimated by CU as (annual catch in CU) = (annual escapement in CU) * (exploitation rate for statistical area) / (1-expl. rate for stat. area).",,6
