stock.id,species,run,stock,region,sub.region,broodYr,spawn,rec,large.region
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1999,127890,114120,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2000,90947,740756,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2001,122505,401742,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2002,95520,1042167,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2003,139799,903429,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2004,80435,293118,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2005,221752,457637,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2006,182005,150731,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2007,224767,117462,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2008,195474,318351,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2009,133263,519639,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2010,142966,515426,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2011,132549,235880,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2012,116442,17271,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2013,196926,43355,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2014,206954,0,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2015,201664,0,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2016,139720,0,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1981,251000,188646,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1982,179600,337539,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1983,128800,273580,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1984,251000,704171,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1985,314000,547610,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1986,117500,554509,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1987,155700,530288,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1988,142900,671751,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1989,206800,632332,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1990,269200,719453,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1991,279200,667405,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1992,179700,420384,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1993,262200,255474,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1994,333400,486611,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1995,338700,320842,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1996,241600,510952,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1997,183000,654502,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1998,159810,535911,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1999,202067,1103081,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2000,182694,569781,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2001,201962,539933,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2002,315689,488244,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2003,343511,279659,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2004,480097,429918,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2005,290000,164384,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2006,215000,204735,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2007,180000,148539,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2008,141600,390320,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2009,157000,494675,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2010,108000,615563,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2011,89000,468611,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2012,103300,163214,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2013,248000,10170,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2014,250000,0,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2015,257000,0,BS
,,,,,,,,,
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,2016,3.00E+05,0,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1981,46441,71549,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1982,50232,44644,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1983,25008,34308,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1984,30363,32826,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1985,24131,32527,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1986,50181,68721,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1987,28335,36860,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1988,15172,55925,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1989,21186,98355,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1990,31232,53605,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1991,41656,82231,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1992,28074,42203,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1993,24957,57884,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1994,56503,60855,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1995,37776,66174,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1996,64185,33158,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1997,34322,14203,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1998,38493,59196,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,1999,49321,50083,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2000,40828,136883,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2001,21194,127072,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2002,21329,100557,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2003,37933,64038,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2004,54035,36411,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2005,118969,62012,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2006,127245,40286,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2007,73768,57909,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2008,43879,27137,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2009,27494,43491,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2010,36574,66579,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2011,19643,7913,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2012,29531,0,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2013,23545,0,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2014,41473,0,BS
,,,,,,,,,
NA,Sockeye,NA,Goodnews,AYK,AYK,2015,57809,0,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1963,203304,414872,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1964,248700,381898,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1965,175020,259725,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1966,174336,565582,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1967,202626,389346,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1968,193872,249189,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1969,182490,180183,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1970,177060,145640,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1971,187302,324749,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1972,151188,124166,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1973,35280,512936,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1974,214848,2290906,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1975,100480,1022272,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1976,81822,344706,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1977,108910.5,1002656,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1978,584970,2175871,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1979,750210,2108732,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1980,759645,649492,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1981,209635.5,1186825,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1982,610215,804937,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1983,245361,470731,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1984,549193.5,2621994,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1985,300976.5,1732106,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1986,586959,2082710,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1987,393235.5,786803,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1988,496306.5,1304319,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1989,501738,2887136,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1990,430338,1358819,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1991,707851.95,3533971,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1992,577939.65,187395,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1993,887336.25,1537760,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1994,618464.25,1597678,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1995,550068.15,3998566,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1996,782212.5,1538527,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1997,556193.25,1464231,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1998,643110,2851376,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,1999,1182180,3790189,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2000,1150815,9915977,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2001,680850,1464953,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2002,766962,3234173,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2003,3676146,6387174,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2004,5396592,2548093,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2005,4218990,2899644,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2006,1773966,2520961,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2007,2466414,2347495,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2008,2180502,2060598,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2009,970818,1396336,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2010,1187730,9649045,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2011,883794,7312434,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2012,861747,1281703,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2013,1095950,2834,BS
,,,,,,,,,
NA,Sockeye,NA,Alagnak,Bristol Bay,Bristol Bay South,2014,200500,0,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1963,997602,993867,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1964,849576,1937879,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1965,1444608,2388481,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1966,804246,2058267,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1967,636864,1631427,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1968,338654,377054,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1969,1015554,2755725,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1970,919734,1202581,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1971,634014,2700673,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1972,546402,2909899,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1973,328842,1451683,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1974,1275630,2441304,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1975,1173840,3040165,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1976,509160,4480473,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1977,692514,4167606,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1978,895698,9914900,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1979,1032042,4039953,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1980,1060860,8224596,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1981,694680,5444107,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1982,1034628,6441609,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1983,792282,10829616,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1984,1165345,11792818,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1985,1095192,6401004,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1986,1152180,14229266,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1987,1273553,25748665,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1988,1612745,19484266,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1989,1611566,10167809,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1990,2191582,16096298,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1991,2786925,9957460,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1992,1945632,8673753,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1993,1517000,1939488,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1994,1897977,7996221,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1995,1266692,7532359,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1996,1076460,4161535,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1997,1104004,6062437,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1998,1110938,1270194,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,1999,1728397,13014329,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2000,1032138,11992729,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2001,968872,4904527,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2002,1036092,5590042,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2003,1152120,9110323,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2004,1290144,14704853,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2005,1621734,6147468,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2006,1465158,3550417,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2007,1432500,6454481,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2008,1259568,4018667,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2009,1146276,4446714,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2010,927054,10354434,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2011,961200,5771957,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2012,1233900,2299965,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2013,1113630,161199,BS
,,,,,,,,,
NA,Sockeye,NA,Egegik,Bristol Bay,Bristol Bay South,2014,1382466,0,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1963,92184,368203,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1964,128532,583057,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1965,180840,810918,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1966,206360,301090,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1967,281772,125740,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1968,194508,158918,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1969,512328,476719,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1970,370920,287432,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1971,210960,259412,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1972,60018,232045,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1973,59508,451996,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1974,358752,1267125,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1975,241086,2810901,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1976,186120,1354664,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1977,95970,830422,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1978,536154,562272,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1979,859560,896472,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1980,1987530,443802,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1981,591144,838643,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1982,423768,346605,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1983,180438,391102,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1984,184872,522950,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1985,212454,1138946,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1986,307728,1700593,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1987,169236,445511,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1988,170454,614895,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1989,461610,991781,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1990,365802,1229493,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1991,756126,983936,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1992,304920,139558,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1993,405564,358172,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1994,445920,659949,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1995,473382,1278254,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1996,400746,886422,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1997,127704,99343,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1998,215904,536352,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,1999,445536,362485,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,2000,413316,767878,BS
,,,,,,,,,
NA,Sockeye,NA,Igushik,Bristol Bay,Bristol Bay North,2001,409596,490205,BS
,,,,,,,,,
