stock.id,species,stock.name,lat,lon,region,ocean.basin,state,begin,end,n.years,m.spawners,m.recruits,source,url,comments
59,Sockeye,Koeye-Sockeye,51.77,-127.885,Central Coast,WC,BC,1954,2015,30,5.321066667,13.37493333,"Salmon Watersheds Program, PSF, 2022",NA,NA
60,Sockeye,Kooryet-Sockeye,53.34,-129.867,Central Coast,WC,BC,1960,1994,19,6.631578947,6.533473684,"Salmon Watersheds Program, PSF, 2022",NA,NA
61,Sockeye,Lowe-Simpson-Weir-Sockeye,53.56,-129.574,Central Coast,WC,BC,1960,1995,26,13.64615385,11.99173077,"Salmon Watersheds Program, PSF, 2022",NA,NA
62,Sockeye,Mary Cove Creek-Sockeye,52.61,-128.45,Central Coast,WC,BC,1954,1996,33,3.208666667,6.658818182,"Salmon Watersheds Program, PSF, 2022",NA,NA
63,Sockeye,Mikado-Sockeye,53.43,-129.836,Central Coast,WC,BC,1960,2001,33,4.53030303,5.866575758,"Salmon Watersheds Program, PSF, 2022",NA,NA
64,Sockeye,Namu-Sockeye,51.86,-127.868,Central Coast,WC,BC,1954,2015,25,4.6208,6.71048,"Salmon Watersheds Program, PSF, 2022",NA,NA
65,Sockeye,Port John-Sockeye,52.12,-127.852,Central Coast,WC,BC,1954,2010,18,1.076222222,2.060833333,"Salmon Watersheds Program, PSF, 2022",NA,NA
66,Sockeye,Tankeeah River-Sockeye,52.29,-128.259,Central Coast,WC,BC,1954,2008,37,4.977027027,12.82289189,"Salmon Watersheds Program, PSF, 2022",NA,NA
67,Sockeye,Tsimtack-Moore-Roger-Sockeye,53.36,-129.46,Central Coast,WC,BC,1960,2011,16,4.055625,6.7899375,"Salmon Watersheds Program, PSF, 2022",NA,NA
68,Sockeye,Yeo-Sockeye,52.295,-128.115,Central Coast,WC,BC,1954,2008,27,1.310740741,2.377444444,"Salmon Watersheds Program, PSF, 2022",NA,NA
69,Sockeye,Nimpkish-Sockeye,50.576,-126.96,Vancouver Island,WC,BC,1970,2012,43,58.37513953,65.47993023,"Salmon Watersheds Program, PSF, 2022",NA,NA
70,Sockeye,Awun-Sockeye,53.665,-132.523,Haida Gwaii,SEAK,BC,1957,2016,53,6.550943396,8.280660377,"Salmon Watersheds Program, PSF, 2022",NA,NA
71,Sockeye,Marian-Eden-Sockeye,53.975,-132.643,Haida Gwaii,SEAK,BC,1954,2016,45,14.07111111,16.17582222,"Salmon Watersheds Program, PSF, 2022",NA,NA
72,Sockeye,Mercer-Sockeye,53.59,-132.907,Haida Gwaii,SEAK,BC,1954,2013,35,7.891428571,9.725628571,"Salmon Watersheds Program, PSF, 2022",NA,NA
73,Sockeye,Skidegate-Sockeye,53.167,-131.789,Haida Gwaii,SEAK,BC,1956,2016,60,22.66651667,25.324,"Salmon Watersheds Program, PSF, 2022",NA,NA
74,Sockeye,Yakoun-Sockeye,53.682,-132.235,Haida Gwaii,SEAK,BC,1957,2016,54,15.57592593,20.13640741,"Salmon Watersheds Program, PSF, 2022",NA,NA
75,Sockeye,Kvichak-Sockeye,57.5,-157.6,Bristol Bay,BS,AK,1963,2014,52,4897.16275,10382.631,"A. Munro,2023",NA,NA
76,Sockeye,Alagnak-Sockeye,58.25,-157.38,Bristol Bay,BS,AK,1963,2014,52,824.4837885,2010.944769,"A. Munro,2023",NA,NA
77,Sockeye,Naknek-Sockeye,58.78,-157.08,Bristol Bay,BS,AK,1963,2014,52,1408.975885,4400.853615,"A. Munro,2023",NA,NA
78,Sockeye,Ugashik-Sockeye,58.85,-158.5,Bristol Bay,BS,AK,1963,2014,52,924.8109231,3356.575981,"A. Munro,2023",NA,NA
79,Sockeye,Egegik-Sockeye,58.85,-157.03,Bristol Bay,BS,AK,1963,2014,52,1158.393654,6807.491288,"A. Munro,2023",NA,NA
80,Sockeye,Nushagak-Sockeye,58.82,-158.49,Bristol Bay,BS,AK,1963,2014,52,573.037,1950.183519,"A. Munro,2023",NA,NA
81,Sockeye,Igushik-Sockeye,58.82,-158.62,Bristol Bay,BS,AK,1963,2014,52,364.8444615,856.8968269,"A. Munro,2023",NA,NA
82,Sockeye,Wood-Sockeye,58.68,-158.8,Bristol Bay,BS,AK,1963,2014,52,1308.842058,4801.464288,"A. Munro,2023",NA,NA
83,Sockeye,Togiak-Sockeye,58.95,-160.45,Bristol Bay,BS,AK,1956,2017,62,188.0247258,616.4524839,"A. Munro,2023",NA,NA
84,Sockeye,Kasilof-Sockeye,60.39,-151.3,Cook Inlet,GOA,AK,1968,2016,49,236.996102,779.3825714,"A. Munro,2023",NA,NA
85,Sockeye,Kenai-Sockeye,60.54,-151.28,Cook Inlet,GOA,AK,1968,2016,49,893.0023061,3317.111286,"A. Munro,2023",NA,NA
86,Sockeye,Goodnews-Sockeye,59.11,-161.62,AYK,BS,AK,1981,2015,35,40.51557143,63.64308571,"A. Munro,2023",NA,NA
87,Sockeye,Redoubt-Sockeye,56.9,-135.33,Southeast Alaska,SEAK,AK,1982,2016,35,30.93297143,44.4864,"A. Munro,2023",NA,NA
88,Sockeye,Chilkoot-Sockeye,58.92,-135.23,Southeast Alaska,SEAK,AK,1976,2016,41,68.46965854,162.3206098,"A. Munro,2023",NA,NA
89,Sockeye,Upper Station Late sockeye-Sockeye,57.06,-154.36,Kodiak,GOA,AK,1970,2015,46,167.5308913,411.4372826,"A. Munro,2023",NA,NA
90,Sockeye,Upper Station Early Sockeye-Sockeye,57.06,-154.36,Kodiak,GOA,AK,1969,2015,47,49.20931915,95.5893617,"A. Munro,2023",NA,NA
91,Sockeye,Ayakulik-Sockeye,57.2,-154.54,Kodiak,GOA,AK,1966,2015,50,265.34694,536.50786,"A. Munro,2023",NA,NA
92,Sockeye,Karluk Late-Sockeye,57.57,-154.45,Kodiak,GOA,AK,1982,2015,34,412.4687647,790.8482059,"A. Munro,2023",NA,NA
93,Sockeye,Karluk Early-Sockeye,57.57,-154.45,Kodiak,GOA,AK,1982,2015,34,259.1032647,402.0731176,"A. Munro,2023",NA,NA
94,Sockeye,Chignik Early-Sockeye,56.28,-158.64,Chignik,GOA,AK,1983,2015,33,460.2469394,1163.560879,"A. Munro,2023",NA,NA
95,Sockeye,Chignik Late-Sockeye,56.28,-158.64,Chignik,GOA,AK,1983,2015,33,314.8715152,943.1610909,"A. Munro,2023",NA,NA
96,Sockeye,Bear-Sockeye,56.16,-160.45,AYK,BS,AK,1982,2015,34,155.827,551.3473529,"A. Munro,2023",NA,NA
97,Sockeye,Nelson-Sockeye,55.96,-161.28,AYK,BS,AK,1982,2015,34,221.0861765,484.5308824,"A. Munro,2023",NA,NA
98,Sockeye,Great Central Lake-Sockeye,49.24,-124.8,Vancouver Island,WC,BC,1977,2016,40,190.0865573,1383.228,"Colin Bailey, DFO, 2023",NA,NA
99,Sockeye,Sproat Lake-Sockeye,49.24,-124.8,Vancouver Island,WC,BC,1977,2016,40,190.0865573,380.05145,"Colin Bailey, DFO, 2023",NA,NA
100,Chum,Willapa Bay-Chum,46.3733,-123.9575,Outside WA,WC,WA,1968,2016,49,32.05659184,53.59438776,"Marisa Litz, WDFW, 2023",NA,
101,Chum,Grays Harbour-Chum,46.95083,-124.0497,Outside WA,WC,WA,1969,2016,44,21.83690909,38.82513636,"Marisa Litz, WDFW, 2023",NA,
102,Chum,S Sound Summer-Chum,47.042,-122.835,Inside WA,WC,WA,1968,2016,49,28.16973469,44.83536735,"Marisa Litz, WDFW, 2023",NA,
103,Chum,S Sound Fall-Chum,47.042,-122.835,Inside WA,WC,WA,1968,2016,49,133.0235714,356.9730612,"Marisa Litz, WDFW, 2023",NA,
104,Chum,S Sound Winter-Chum,47.042,-122.835,Inside WA,WC,WA,1968,2016,49,35.1217551,56.01418367,"Marisa Litz, WDFW, 2023",NA,
105,Chum,Hood Canal-Chum,47.5644,-122.9956,Inside WA,WC,WA,1968,2016,49,58.98214286,189.1033673,"Marisa Litz, WDFW, 2023",NA,
106,Chum,Port Susan-Chum,48.23861,-122.3758,Inside WA,WC,WA,1968,2016,49,72.75761224,116.5000408,"Marisa Litz, WDFW, 2023",NA,Sum of Stillaguamish and Snohomish stocks
107,Chum,Skagit-Chum,48.3875,-122.3656,Inside WA,WC,WA,1968,2016,49,61.20283673,98.27118367,"Marisa Litz, WDFW, 2023",NA,
108,Chum,Bellingham-Chum,48.775,-122.5978,Inside WA,WC,WA,1968,2016,49,33.85853061,64.0632449,"Marisa Litz, WDFW, 2023",NA,Sum of Nooksack and Samish stocks
109,Chum,Strait of Juan de Fuca-Chum,48.1618,-123.59,Inside WA,WC,WA,1968,2016,49,2.41,2.805938776,"Salmon Watersheds Program, PSF, 2022",NA,NA
110,Chum,Fraser-Chum,49.12333,-123.0569,South Coast,WC,BC,1959,1992,34,420.8459706,886.1851575,"Ryall, P., C. Murray, V. Palermo, D. Bailey, and D. Chen. 1999. Status of Clockwork Chum Salmon Stock and Review of the Clockwork Management Strategy. Technical report, Canadian Department of Fisheries and Oceans, Canadian Stock Assessment Secretariat Research Document 99/169",NA,
111,Chum,BC South (no Fraser)-Chum,50.28778,-125.2008,South Coast,WC,BC,1953,2002,50,799.0815,1310.96352,"Pieter Van Will, Fisheries and Oceans Canada (DFO), Port Hardy, BC; Van Will, P., R. Brahniuk, L. Hop Wo, and G. Pestal. 2009. Certification Unit Profile: Inner South Coast Chum Salmon (Excluding Fraser River). Technical report, Canadian Manuscript Report of Fisheries and Aquatic Sciences 2876",NA,"Statistical Areas 11-17, 28A, 28B, 29B"
112,Chum,Kadashan-Chum,57.575,-134.75,SEAK,SEAK,AK,1969,1984,16,27.237,60.5985625,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,
113,Chum,Chilkat-Chum,59.201231,-135.466669,SEAK,SEAK,AK,1994,2005,12,173.1780833,353.1806091,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,
114,Chum,East Alsek-Chum,59.434,-139.547,Yakutat,SEAK,AK,1960,1987,21,11.8,22.98542857,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,
115,Chum,PWS-Chum,60.5,-147,PWS,GOA,AK,1965,2004,40,200.069475,1434.284625,"Botz, J., G. Hollowell, T. Sheridan, R. Brenner, and S. Moffitt. 2012. 2010 Prince William Sound Area Finfish Management Report. Technical report, Fishery Management Report No. 12-06, Alaska Department of Fish and Game",NA,
116,Chum,Kamishak-Chum,59.27,-154.1175,Cook Inlet,GOA,AK,1971,2006,34,91.23235294,147.2120882,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,
117,Chum,Outer CIn-Chum,59.38389,-150.7528,Cook Inlet,GOA,AK,1970,2006,37,27.40810811,55.42624324,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,
118,Chum,S CIn-Chum,59.52528,-151.48,Cook Inlet,GOA,AK,1970,2006,37,2.881081081,8.016216216,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,
119,Chum,Upper CIn-Chum,61.271,-150.576,Cook Inlet,GOA,AK,1971,2008,35,9.130171429,18.04002857,"Patrick Shields, Alaska Department of Fish and Game (ADFG), Soldotna, AK",NA,
120,Chum,Alitak-Chum,56.88528,-154.1217,Kodiak,GOA,AK,1978,2007,30,43.7191,102.2122333,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
121,Chum,E Kod-Chum,57.089858,-153.187928,Kodiak,GOA,AK,1978,2007,30,93.9816,240.925,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
122,Chum,SW Kod-Chum,57.264508,-154.613211,Kodiak,GOA,AK,1978,2007,30,44.9189,65.542,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
123,Chum,NE Kod-Chum,57.77889,-152.3592,Kodiak,GOA,AK,1978,2007,30,14.96173333,31.28806667,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
124,Chum,NW Kod-Chum,57.856839,-153.882906,Kodiak,GOA,AK,1978,2007,30,94.0711,360.1969667,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
125,Chum,Mainland Kod-Chum,58.03333,-154.6644,Kodiak,GOA,AK,1978,2007,30,205.6781,348.3226333,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
126,Chum,Perryville-Chum,55.85417,-159.3314,Chignik,GOA,AK,1962,2007,46,49.62767391,72.63836957,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
127,Chum,W Chig-Chum,56.06667,-158.6756,Chignik,GOA,AK,1962,2007,46,36.99852174,104.2571957,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
128,Chum,Central Chig-Chum,56.59639,-157.9933,Chignik,GOA,AK,1962,2007,46,34.5883913,73.50634783,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
129,Chum,E Chig-Chum,56.98528,-156.5806,Chignik,GOA,AK,1962,2007,46,120.0811739,156.5152609,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
130,Chum,SW-Unimak-Chum,54.5,-163.5,AK Peninsula,BS,AK,1962,2007,46,198.4014348,415.7675652,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Southwestern and Unimak Districts
131,Chum,W-NW AKPen-Chum,54.982,-163.37,AK Peninsula,BS,AK,1962,2007,46,42.76195652,70.92647826,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,"Sum of Dublin, Bechevin & Urilia Bays, Swanson Lagoon"
132,Chum,E-NW AKPen-Chum,55.3158,-162.845,AK Peninsula,BS,AK,1962,2007,46,174.2418478,233.013,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Izembek and Moffet Bay
133,Chum,SE-SC AKPen-Chum,55.5,-161,AK Peninsula,BS,AK,1962,2007,46,288.1812174,704.7968913,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Southeastern and Southcentral Districts
134,Chum,N AKPen-Chum,56.46,-159.68,AK Peninsula,BS,AK,1962,2007,46,170.237,284.153587,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
135,Chum,Nushagak-Chum,58.622,-158.591,Bristol Bay,BS,AK,1980,2005,25,309.96628,773.9985935,"Lowell Fair, Alaska Department of Fish and Game (ADFG), Anchorage, AK",NA,
136,Chum,Togiak-Chum,58.925,-160.446,Bristol Bay,BS,AK,1978,1991,14,254.6821429,441.6097324,"Lowell Fair, Alaska Department of Fish and Game (ADFG), Anchorage, AK",NA,
137,Chum,Yukon-Chum,62.78,-164.96,AYK,BS,AK,1974,2001,28,577.3142857,891.4494532,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Fleischman, S. and B. Borba. 2009. Escapement estimation, spawner-recruit analysis, and escapement goal recommendation for fall chum salmon in the Yukon River drainage. Technical report, Fishery Manuscript Series No. 09-08, Alaska Department of Fish and Game",NA,Fall Run
