"","stock.id","species","stock.name","lat","lon","ocean.basin","state","begin","end","n.years","max.spawners","max.recruits","source","url","comments"
"14",14,"Sockeye","Kasilof-Sockeye","60.39","-151.3","GOA","AK",1968,2010,43,523653,1853442,"Mark Willette, ADF&G, upper Cook Inlet, via Rich Brenner",NA,"Age 7 fish starting in 1999 through Age 3 in 2011 use genetic estimates of stock-specific harvests. Age 7 fish starting in 2008 through Age 3 in 2013 use preliminary age composition catch allocation model estimates of stock-specific harvest (see original excel doc for color coding)"
"15",15,"Sockeye","Kenai-Sockeye","60.54","-151.28","GOA","AK",1968,2010,43,2026637,10356626,"Mark Willette, ADF&G, upper Cook Inlet, via Rich Brenner",NA,"Age 7 fish starting in 1999 through Age 3 in 2011 use genetic estimates of stock-specific harvests. Age 7 fish starting in 2008 through Age 3 in 2013 use preliminary age composition catch allocation model estimates of stock-specific harvest (see original excel doc for color coding)"
"16",16,"Sockeye","Late Karluk-Sockeye","57.57","-154.45","GOA","AK",1981,2011,31,831970,1838229,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,"Smolts enter ocean at BY+3 or BY+4"
"17",17,"Sockeye","Late Upper Station-Sockeye","57.06","-154.36","GOA","AK",1970,2010,41,408409,1675201,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,"Late run"
"18",18,"Sockeye","Nelson-Sockeye","55.96","-161.28","BS","AK",1981,2010,30,480097,1103081,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,NA
"19",19,"Sockeye","Owikeno-Sockeye","51.68","-127.25","WC","BC",1987,2010,24,459600,800980,"Karl English (LGL) June 23 2014 via Jim Irvine (DFO)",NA,NA
"20",20,"Sockeye","Redoubt-Sockeye","56.9","-135.33","WC","AK",1982,2010,29,103952.8553,139790,"Rich Brenner, 2017, ADF&G, Juneau, AK",NA,"Dominant age classes estimated from escapement age; Used RR 1 sheet."
"22",21,"Sockeye","Togiak-Sockeye","58.95","-160.45","BS","AK",1956,2011,56,526750,1440819,"Greg Buck, 2017, ADFG",NA,NA
"23",22,"Sockeye","Washington-Sockeye","47.48","-122.42","WC","WA",1968,2011,44,446816,680509,"Aaron Dufault 2017
Arron Dufault, Washington Department of Fish and Wildlife, Olympia, WA (via G. Ruggerone)",NA,"Hatchery component of the run was removed; FW age assumed to be 1.X.  These sockeye grow fast in the lake."
"24",23,"Sockeye","Early Stuart-Sockeye","49.12","-123.06","WC","BC",1948,2015,68,386806,1814783,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"25",24,"Sockeye","Late Stuart-Sockeye","49.12","-123.06","WC","BC",1948,2015,68,1805142,5327124,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"26",25,"Sockeye","Stellako-Sockeye","49.12","-123.06","WC","BC",1948,2015,68,240406,1904124,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"27",26,"Sockeye","Bowron-Sockeye","49.12","-123.06","WC","BC",1948,2015,68,16178,214316,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"28",27,"Sockeye","Raft-Sockeye","49.12","-123.06","WC","BC",1948,2015,68,27668,115396,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"29",28,"Sockeye","Quesnel-Sockeye","49.12","-123.06","WC","BC",1948,2015,68,1740454,12545239,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"30",29,"Sockeye","Chilko-Sockeye","49.12","-123.06","WC","BC",1948,2015,68,1181540,5066618,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"31",30,"Sockeye","Seymour-Sockeye","49.12","-123.06","WC","BC",1948,2015,68,287496,1086668,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"32",31,"Sockeye","Late Shuswap-Sockeye","49.12","-123.06","WC","BC",1948,2015,67,3073220,17571901,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"33",32,"Sockeye","Birkenhead-Sockeye","49.12","-123.06","WC","BC",1948,2015,68,197841,1816442,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"34",33,"Sockeye","Cultus-Sockeye","49.12","-123.06","WC","BC",1948,2015,68,48461,281084,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"35",34,"Sockeye","Portage-Sockeye","49.12","-123.06","WC","BC",1951,2015,62,26699,210984,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"36",35,"Sockeye","Weaver-Sockeye","49.12","-123.06","WC","BC",1966,2015,50,115030,1505995,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"37",36,"Sockeye","North Barriere-Sockeye","49.12","-123.06","WC","BC",1958,2015,53,15409,78650,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"38",37,"Sockeye","Scotch-Sockeye","49.12","-123.06","WC","BC",1948,2015,53,273905,1029951,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"39",38,"Sockeye","Gates-Sockeye","49.12","-123.06","WC","BC",1952,2015,64,26445,319543,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"40",39,"Sockeye","Nadina-Sockeye","49.12","-123.06","WC","BC",1973,2015,43,67127,546597,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"41",40,"Sockeye","Pitt-Sockeye","49.12","-123.06","WC","BC",1948,2015,68,74627,221710,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"42",41,"Sockeye","Harrison-Sockeye","49.12","-123.06","WC","BC",1948,2015,68,399661,1638948,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"43",42,"Sockeye","Misc. Early Shuswap-Sockeye","49.12","-123.06","WC","BC",2004,2015,12,119591,817957,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"44",43,"Sockeye","Misc. Taseko-Sockeye","49.12","-123.06","WC","BC",2013,2015,3,482,754,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"45",44,"Sockeye","Misc. Chilliwack-Sockeye","49.12","-123.06","WC","BC",2004,2015,12,78823,200093,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"46",45,"Sockeye","Misc. Nahatlatch-Sockeye","49.12","-123.06","WC","BC",2003,2015,13,3455,17136,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"47",46,"Sockeye","Misc. N. Thompson Main.-Sockeye","49.12","-123.06","WC","BC",2004,2015,12,47725,135777,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"48",47,"Sockeye","Misc. N. Thompson Tribs.-Sockeye","49.12","-123.06","WC","BC",2004,2015,12,2406,6166,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"49",48,"Sockeye","Misc. Widgeon-Sockeye","49.12","-123.06","WC","BC",2014,2015,2,146,258,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"50",49,"Sockeye","Misc. Harrison/Lillooet-Sockeye","49.12","-123.06","WC","BC",2004,2015,12,11332,32253,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
"51",50,"Sockeye","Babine-Early-Wild-Sockeye","54.2237","-129.831","WC","BC",1960,2015,56,232802,620729.529435912,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"52",51,"Sockeye","Babine-Fulton-Sockeye","54.2237","-129.831","WC","BC",1960,2015,56,586508,5284827.43839286,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"53",52,"Sockeye","Babine-Late-Wild-Sockeye","54.2237","-129.831","WC","BC",1960,2015,56,623637,2134039.57667906,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"54",53,"Sockeye","Babine-Mid-Wild-Sockeye","54.2237","-129.831","WC","BC",1960,2015,56,83151,174898.464,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"55",54,"Sockeye","Babine-Pinkut-Sockeye","54.2237","-129.831","WC","BC",1960,2015,56,302166,2073184.34287479,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"56",55,"Sockeye","Kwinageese-Sockeye","54.2237","-129.831","WC","BC",1982,2015,21,25000,97920.95,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"57",56,"Sockeye","Alastair-Sockeye","54.2237","-129.831","WC","BC",1960,2015,56,79093,72978.558022321,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"58",57,"Sockeye","Johnston-Sockeye","54.2237","-129.831","WC","BC",1965,1982,8,10000,24116.370175184,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"59",58,"Sockeye","Kitsumkalum-Sockeye","54.2237","-129.831","WC","BC",1960,2011,41,48870,58405.474932928,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"60",59,"Sockeye","Lakelse-Sockeye","54.2237","-129.831","WC","BC",1960,2015,47,87785,90679.12060083,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"61",60,"Sockeye","Mcdonell-Sockeye","54.2237","-129.831","WC","BC",1960,2015,30,14568,12251.82369416,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"62",61,"Sockeye","Kitwancool-Sockeye","54.2237","-129.831","WC","BC",2000,2015,16,20804,23405.949361039,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"63",62,"Sockeye","Morice-Sockeye","54.2237","-129.831","WC","BC",1960,2015,50,46965,97300.439133648,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"64",63,"Sockeye","Stephens-Sockeye","54.2237","-129.831","WC","BC",1960,2005,17,17744,79473.26,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"65",64,"Sockeye","Asitika-Sockeye","54.2237","-129.831","WC","BC",2003,2015,12,4832,4046.09925992,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"66",65,"Sockeye","Bear-Skeena-Sockeye","54.2237","-129.831","WC","BC",1960,1993,5,2097,3922.21,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"67",66,"Sockeye","Damshilgwit-Sockeye","54.2237","-129.831","WC","BC",2000,2011,12,949,1555.6,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"68",67,"Sockeye","Motase-Sockeye","54.2237","-129.831","WC","BC",1993,2015,13,2059,1814.116161196,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"69",68,"Sockeye","Sustut-Sockeye","54.2237","-129.831","WC","BC",1960,2012,33,4992,5057.572919297,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"70",69,"Sockeye","Damdochax-Sockeye","54.2237","-129.831","WC","BC",1982,2015,29,15000,35217.458331293,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"71",70,"Sockeye","Upper Nass River-Sockeye","54.9898","-130.02","WC","BC",2003,2015,13,1516,2757.679999958,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"72",71,"Sockeye","Lower Nass-Portland-Sockeye","54.9898","-130.02","WC","BC",1982,2015,34,54634,122102.821677464,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"73",72,"Sockeye","Meziadin-Sockeye","54.9898","-130.02","WC","BC",1982,2015,34,592118,1707763.1,"Charmaine Carr-Harris, DFO, 2023",NA,NA
"74",73,"Sockeye","Igushik-Sockeye","57.5","-157.6","BS","AK",1963,2014,52,1987530,2810903.3498592,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"75",74,"Sockeye","Wood-Sockeye","58.25","-157.38","BS","AK",1963,2014,52,4008102,24560850.0151954,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"76",75,"Sockeye","Nushagak-Sockeye","58.78","-157.08","BS","AK",1963,2014,52,3669136.414,11990241.5824528,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"77",76,"Sockeye","Kvichak-Sockeye","58.85","-158.5","BS","AK",1963,2014,52,24325926,45820688.6640769,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"78",77,"Sockeye","Alagnak-Sockeye","58.85","-157.03","BS","AK",1963,2014,52,5396592,9751334.59949091,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"79",78,"Sockeye","Naknek-Sockeye","58.82","-158.49","BS","AK",1963,2014,52,3578508,12744733.8536441,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"80",79,"Sockeye","Egegik-Sockeye","58.82","-158.62","BS","AK",1963,2014,52,2786925,25731443.1009924,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"81",80,"Sockeye","Ugashik-Sockeye","58.68","-158.8","BS","AK",1963,2014,52,3335284,8062936.54188374,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
"82",81,"Sockeye","Great Central Lake-Sockeye","49.24","-124.8","WC","BC",1977,2016,40,431213.3766,1383228,"Colin Bailey, DFO, 2023",NA,NA
"83",82,"Sockeye","Sproat Lake-Sockeye","49.24","-124.8","WC","BC",1977,2016,40,431213.3766,1456289,"Colin Bailey, DFO, 2023",NA,NA
"84",83,"Sockeye","Goodnews-Sockeye","59.11","-161.6","BS","BC",1981,2011,31,126734,133439,"Greg Ruggerone, 2023",NA,NA
"110",84,"Chum","Willapa Bay-Chum","46.3733","123.9575","WC","WA",1968,2016,49,84021,250667,NA,NA,""
"111",85,"Chum","Grays Harbour-Chum","46.95083","124.0497","WC","WA",1969,2016,44,62811,193236,NA,NA,""
"112",86,"Chum","S Sound Summer-Chum","47.042","122.835","WC","WA",1968,2016,49,120782,201832,NA,NA,""
"113",87,"Chum","S Sound Fall-Chum","47.042","122.835","WC","WA",1968,2016,49,367456,1113891,NA,NA,""
"114",88,"Chum","S Sound Winter-Chum","47.042","122.835","WC","WA",1968,2016,49,203571,347441,NA,NA,""
"115",89,"Chum","Hood Canal-Chum","47.5644","122.9956","WC","WA",1968,2016,49,251803,638817,NA,NA,""
"116",90,"Chum","Port Susan-Chum","48.23861","122.3758","WC","WA",1968,2016,49,370502,654809,NA,NA,"Sum of Stillaguamish and Snohomish stocks"
"117",91,"Chum","Skagit-Chum","48.3875","122.3656","WC","WA",1968,2016,49,209478,432486,NA,NA,""
"118",92,"Chum","Bellingham-Chum","48.775","122.5978","WC","WA",1968,2016,49,104127,175640,NA,NA,"Sum of Nooksack and Samish stocks"
"119",93,"Chum","Strait of Juan de Fuca-Chum","48.1618","-123.59","WC","WA",1968,2016,49,12552,12375,NA,NA,NA
"120",94,"Chum","Fraser-Chum","49.12333","123.0569","WC","BC",1959,1992,33,1295255,2040923.63,"Ryall, P., C. Murray, V. Palermo, D. Bailey, and D. Chen. 1999. Status of Clockwork Chum Salmon Stock and Review of the Clockwork Management Strategy. Technical report, Canadian Department of Fisheries and Oceans, Canadian Stock Assessment Secretariat Research Document 99/169",NA,""
"121",95,"Chum","BC South (no Fraser)-Chum","50.28778","125.2008","WC","BC",1953,2002,50,2106443,3070728,"Pieter Van Will, Fisheries and Oceans Canada (DFO), Port Hardy, BC; Van Will, P., R. Brahniuk, L. Hop Wo, and G. Pestal. 2009. Certification Unit Profile: Inner South Coast Chum Salmon (Excluding Fraser River). Technical report, Canadian Manuscript Report of Fisheries and Aquatic Sciences 2876",NA,"Statistical Areas 11-17, 28A, 28B, 29B"
"122",96,"Chum","Kadashan-Chum","57.575","134.75","WC","AK",1969,1984,16,64928,214105,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,""
"123",97,"Chum","Chilkat-Chum","59.201231","135.466669","WC","AK",1994,2005,12,310000,672333.8177,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,""
"124",98,"Chum","East Alsek-Chum","59.434","139.547","WC","AK",1960,1987,21,40000,60214,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,""
"125",99,"Chum","PWS-Chum","60.5","147","GOA","AK",1965,2004,40,491270,4645827,"Botz, J., G. Hollowell, T. Sheridan, R. Brenner, and S. Moffitt. 2012. 2010 Prince William Sound Area Finfish Management Report. Technical report, Fishery Management Report No. 12-06, Alaska Department of Fish and Game",NA,""
"126",100,"Chum","Kamishak-Chum","59.27","154.1175","GOA","AK",1971,2006,34,196900,361995,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,""
"127",101,"Chum","Outer CIn-Chum","59.38389","150.7528","GOA","AK",1970,2006,37,64200,285493,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,""
"128",102,"Chum","S CIn-Chum","59.52528","151.48","GOA","AK",1970,2006,37,11400,25720,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,""
"129",103,"Chum","Upper CIn-Chum","61.271","150.576","GOA","AK",1971,2008,35,34100,55283,"Patrick Shields, Alaska Department of Fish and Game (ADFG), Soldotna, AK",NA,""
"130",104,"Chum","Alitak-Chum","56.88528","154.1217","GOA","AK",1978,2007,30,121900,225103,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"131",105,"Chum","E Kod-Chum","57.089858","153.187928","GOA","AK",1978,2007,30,328700,574595,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"132",106,"Chum","SW Kod-Chum","57.264508","154.613211","GOA","AK",1978,2007,30,160339,151012,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"133",107,"Chum","NE Kod-Chum","57.77889","152.3592","GOA","AK",1978,2007,30,50715,103181,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"134",108,"Chum","NW Kod-Chum","57.856839","153.882906","GOA","AK",1978,2007,30,417100,729033,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"135",109,"Chum","Mainland Kod-Chum","58.03333","154.6644","GOA","AK",1978,2007,30,453148,769158,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"136",110,"Chum","Perryville-Chum","55.85417","159.3314","GOA","AK",1962,2007,46,343200,431794,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,""
"137",111,"Chum","W Chig-Chum","56.06667","158.6756","GOA","AK",1962,2007,46,184100,361600,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,""
"138",112,"Chum","Central Chig-Chum","56.59639","157.9933","GOA","AK",1962,2007,46,173100,243501,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,""
"139",113,"Chum","E Chig-Chum","56.98528","156.5806","GOA","AK",1962,2007,46,406900,457811,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,""
"140",114,"Chum","SW-Unimak-Chum","54.5","163.5","BS","AK",1962,2007,46,401650,1272981,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,"Sum of Southwestern and Unimak Districts"
"141",115,"Chum","W-NW AKPen-Chum","54.982","163.37","BS","AK",1962,2007,46,320000,337627,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,"Sum of Dublin, Bechevin & Urilia Bays, Swanson Lagoon"
"142",116,"Chum","E-NW AKPen-Chum","55.3158","162.845","BS","AK",1962,2007,46,427500,646716,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,"Sum of Izembek and Moffet Bay"
"143",117,"Chum","SE-SC AKPen-Chum","55.5","161","BS","AK",1962,2007,46,648200,1278872,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,"Sum of Southeastern and Southcentral Districts"
"144",118,"Chum","N AKPen-Chum","56.46","159.68","BS","AK",1962,2007,46,436400,1023568,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,""
"145",119,"Chum","Nushagak-Chum","58.622","158.591","BS","AK",1980,2005,25,969000,2004184.829,NA,NA,""
"146",120,"Chum","Togiak-Chum","58.925","160.446","BS","AK",1978,1991,14,415000,1130702.381,NA,NA,""
"147",121,"Chum","Yukon-Chum","62.78","164.96","BS","AK",1974,2001,28,2068000,2812493.734,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Fleischman, S. and B. Borba. 2009. Escapement estimation, spawner-recruit analysis, and escapement goal recommendation for fall chum salmon in the Yukon River drainage. Technical report, Fishery Manuscript Series No. 09-08, Alaska Department of Fish and Game",NA,"Fall Run"
"148",122,"Chum","Anvik-Chum","62.78","164.96","BS","AK",1972,1993,22,1486182,2215845,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Clark, J. and G. Sandone. 2001. Biological escapement goal for Anvik River chum salmon. Technical report, Regional InformationI Report No. 3AO1- 06, Alaska Department of Fish and Game",NA,""
"149",123,"Chum","Andreafsky-Chum","62.78","164.96","BS","AK",1972,2001,30,271000,243988.47,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Fleischman, S. and D. Evenson. 2010. Run reconstruction, spawner-recruit analysis, and escapement goal recommendation for summer chum salmon in the east fork of the Andreafsky River. Technical report, Fishery Manuscript Series No. 10-04, Alaska Department of Fish and Game",NA,""
"150",124,"Chum","Norton Sound-Chum","64.52","165.12","BS","AK",1974,1995,22,92107,112461,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Clark, J. 2001a. Biological escapement goal for chum salmon in subdistrict one of Norton Sound. Technical report, Regional Information Report No. 3AO1-09, Alaska Department of Fish and Game",NA,"District 1"
"151",125,"Chum","Kwiniuk Inlet-Chum","64.72","161.96","BS","AK",1965,1995,31,154910,216334,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Clark, J. 2001b. Biological escapement goals for Kwiniuk and Tubutulik chum salmon. Technical report, Regional Infomlation Report No. 3AOI-08, Alaska Department of Fish and Game",NA,"Sum of Kwiniuk and Tubutulik Rivers"
"152",126,"Chum","Kotzebue-Chum","66.46","161.91","BS","AK",1962,1997,36,1439252,1468511,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Eggers, D. and J. Clark. 2006. Assessment of historical runs and escapement goals for Kotzebue area chum salmon. Technical report, Fishery Manuscript No. 06-01, Alaska Department of Fish and Game ",NA,""
<<<<<<< Updated upstream
"153",127,"Chum","Smith Inlet-Chum","51.31","127.43","WC","BC",1954,2010,56,154327.0758,189817.6387,NA,NA,""
"154",128,"Chum","Rivers Inlet-Chum","51.68","127.26","WC","BC",1954,2008,54,267783.5182,249264.7797,NA,NA,""
"155",129,"Chum","Hecate Lowlands-Chum","53.42","129.25","WC","BC",1954,2015,62,317836.4433,590818.588,NA,NA,""
"156",130,"Chum","Mussel-Kynoch-Chum","52.61","128.52","WC","BC",1954,2014,61,267972.6008,384353.6842,NA,NA,""
"157",131,"Chum","Douglas-Gardner-Chum","53.96","128.68","WC","BC",1954,2014,61,1146392.294,1352425.96,NA,NA,""
"158",132,"Chum","Skidegate-Chum","54.09","132.22","WC","BC",1954,2009,56,394242.937,473852.7625,NA,NA,""
"159",133,"Chum","West Haida Gwaii-Chum","53.06","132.69","WC","BC",1954,2008,55,380190.4894,450031.4022,NA,NA,""
"160",134,"Chum","North Haida Gwaii-Chum","54.09","132.22","WC","BC",1954,2006,51,242487.4436,223620.9044,NA,NA,""
"161",135,"Chum","North Haida Gwaii-Stanley Creek-Chum","54.09","132.22","WC","BC",1958,2004,30,6000,7294.961305,NA,NA,""
"162",136,"Chum","Skeena Estuary-Chum","54.3","130.36","WC","BC",1954,2010,24,15083.40356,18346.42299,NA,NA,""
"163",137,"Chum","Lower Skeena-Chum","54.3","130.36","WC","BC",1955,2014,54,169086.8851,374077.293,NA,NA,""
"164",138,"Chum","Middle Skeena-Chum","54.3","130.36","WC","BC",1954,2014,45,51185.75413,45447.15084,NA,NA,""
