CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-20-01,SX,Alastair,1991,"11,000",1.00,"11,000",1.11,"12,199",2.00,"24,399","13,393",32.3%,"37,792","17,131",41.3%,"41,530",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1992,"8,000",1.00,"8,000",1.11,"8,872",2.00,"17,744","13,890",40.4%,"31,634","16,674",48.4%,"34,419",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1993,"7,500",1.00,"7,500",1.11,"8,318",2.00,"16,635","9,508",34.6%,"26,143","10,829",39.4%,"27,464",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1994,"6,500",1.00,"6,500",1.11,"7,209",2.00,"14,417","6,256",27.1%,"20,673","8,656",37.5%,"23,073",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1995,"8,500",1.00,"8,500",1.11,"9,427",2.00,"18,853","12,355",36.0%,"31,208","15,453",45.0%,"34,306",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1996,"12,500",1.00,"12,500",1.11,"13,863",2.00,"27,726","20,364",39.7%,"48,090","23,532",45.9%,"51,258",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1997,"12,000",1.00,"12,000",1.11,"13,308",2.00,"26,617","25,934",44.7%,"52,551","31,425",54.1%,"58,042",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1998,"9,250",1.00,"9,250",1.11,"10,258",2.00,"20,517","5,629",19.6%,"26,146","8,152",28.4%,"28,669",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1999,"2,500",1.00,"2,500",1.11,"2,773",2.00,"5,545","1,273",17.8%,"6,819","1,592",22.3%,"7,137",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2000,"5,444",1.00,"5,444",1.11,"6,038",2.00,"12,075","6,313",33.6%,"18,389","6,721",35.8%,"18,797",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2001,"8,842",1.00,"8,842",1.11,"9,806",2.00,"19,611","5,721",21.6%,"25,333","6,829",25.8%,"26,441",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2002,"1,958",1.00,"1,958",1.11,"2,171",2.00,"4,342","2,006",30.7%,"6,348","2,184",33.5%,"6,526",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2003,"29,153",1.00,"29,153",1.11,"32,332",2.00,"64,663","13,206",16.2%,"77,869","16,961",20.8%,"81,624",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2004,"7,185",1.00,"7,185",1.11,"7,968",2.00,"15,936","2,915",14.8%,"18,851","3,760",19.1%,"19,696",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2005,"6,002",1.00,"6,002",1.11,"6,656",2.00,"13,312",946,6.2%,"14,258","2,014",13.1%,"15,326",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2006,"5,175",1.00,"5,175",1.11,"5,739",2.00,"11,478","2,497",17.5%,"13,975","2,763",19.4%,"14,242",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2007,"15,806",1.00,"15,806",1.11,"17,529",2.00,"35,058","8,106",16.4%,"43,164","14,222",28.9%,"49,279",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2008,444,1.00,444,1.11,492,2.00,984,291,22.4%,"1,276",318,24.4%,"1,302",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2009,"13,310",1.00,"13,310",1.11,"14,761",2.00,"29,522","1,873",5.7%,"31,395","3,202",9.8%,"32,724",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2010,"35,659",1.00,"35,659",1.11,"39,547",2.00,"79,093","6,698",7.6%,"85,791","9,562",10.8%,"88,655",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2011,"19,958",1.00,"19,958",1.11,"22,134",2.00,"44,267","8,607",15.6%,"52,875","11,029",19.9%,"55,297",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2012,"16,400",1.00,"16,400",1.11,"18,188",2.00,"36,376","7,245",16.2%,"43,621","8,455",18.9%,"44,831",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2013,"13,740",1.00,"13,740",1.11,"15,238",2.00,"30,475","1,732",5.2%,"32,207","2,520",7.6%,"32,996",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2014,"5,229",1.00,"5,229",1.11,"5,799",2.00,"11,598","1,227",9.0%,"12,825","2,007",14.8%,"13,605",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2015,"10,640",1.00,"10,640",1.11,"11,800",2.00,"23,600",856,3.3%,"24,456","2,301",8.9%,"25,901",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2016,"30,025",1.00,"30,025",1.11,"33,298",2.00,"66,597","6,094",7.6%,"72,691","13,902",17.3%,"80,499",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2017,"6,250",1.00,"6,250",1.11,"6,931",2.00,"13,863",130,0.9%,"13,992",761,5.2%,"14,624",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2018,"1,478",1.00,"1,478",1.11,"1,639",2.00,"3,278",171,4.7%,"3,449",334,9.2%,"3,612",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2019,"1,942",1.00,"1,942",1.11,"2,153",2.00,"4,307",252,4.9%,"4,558",856,16.6%,"5,163",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2020,80,3.40,272,1.11,301,2.00,603,29,4.3%,632,70,10.4%,673,2.00,1.47,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2021,"5,700",1.00,"5,700",1.11,"6,321",2.00,"12,643",559,3.4%,"13,202","3,599",22.2%,"16,242",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,2022,"10,590",1.00,"10,590",1.11,"11,745",2.00,"23,489","2,144",7.9%,"25,633","3,667",13.5%,"27,156",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1960,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1961,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1962,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1963,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1964,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1965,2,1.00,2,1.00,2,2.00,4,2,29.6%,6,3,40.2%,7,1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1966,25,1.00,25,1.00,25,2.00,50,60,52.7%,110,63,55.8%,113,1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1967,750,1.00,750,1.00,750,2.00,"1,500","2,017",52.1%,"3,517","2,371",61.2%,"3,871",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1968,750,1.00,750,1.00,750,2.00,"1,500","1,659",50.6%,"3,159","1,775",54.2%,"3,275",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1969,400,1.00,400,1.00,400,2.00,800,581,40.3%,"1,381",642,44.5%,"1,442",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1970,"3,500",1.00,"3,500",1.00,"3,500",2.00,"7,000","5,454",43.0%,"12,454","5,698",44.9%,"12,698",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1971,"5,000",1.00,"5,000",1.00,"5,000",2.00,"10,000","9,152",47.0%,"19,152","9,474",48.6%,"19,474",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1972,"7,500",1.00,"7,500",1.00,"7,500",2.00,"15,000","13,464",45.0%,"28,464","14,918",49.9%,"29,918",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1973,"3,000",1.00,"3,000",1.00,"3,000",2.00,"6,000","7,034",52.1%,"13,034","7,506",55.6%,"13,506",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1974,750,1.00,750,1.00,750,2.00,"1,500","2,133",56.6%,"3,633","2,270",60.2%,"3,770",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1975,"1,000",1.00,"1,000",1.00,"1,000",2.00,"2,000","1,153",36.1%,"3,153","1,199",37.5%,"3,199",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1976,"3,000",1.00,"3,000",1.00,"3,000",2.00,"6,000","5,682",46.6%,"11,682","6,204",50.8%,"12,204",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1977,500,1.00,500,1.00,500,2.00,"1,000",938,45.6%,"1,938","1,057",51.4%,"2,057",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1978,500,1.00,500,1.00,500,2.00,"1,000",991,46.1%,"1,991","1,148",53.4%,"2,148",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1979,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1980,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1981,500,1.00,500,1.01,504,2.00,"1,007",949,46.2%,"1,957","1,047",51.0%,"2,055",1.00,5.00,4.96,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1982,500,1.00,500,1.01,504,2.00,"1,007","1,322",52.9%,"2,330","1,491",59.7%,"2,499",1.00,5.00,4.96,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1983,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1984,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1985,900,1.00,900,1.01,907,2.00,"1,813","1,622",43.6%,"3,435","1,908",51.3%,"3,721",1.00,5.00,4.96,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1986,350,1.00,350,1.01,353,2.00,705,432,32.6%,"1,137",622,46.9%,"1,327",1.00,5.00,4.96,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1987,600,1.00,600,1.01,604,2.00,"1,209",566,30.5%,"1,775",648,34.9%,"1,857",1.00,5.00,4.96,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1988,700,1.00,700,1.01,705,2.00,"1,410","1,510",45.7%,"2,920","1,894",57.3%,"3,304",1.00,5.00,4.96,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1989,300,1.00,300,1.01,302,2.00,604,366,32.9%,970,510,45.8%,"1,114",1.00,5.00,4.96,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1990,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1991,600,1.00,600,1.02,614,2.00,"1,228","1,303",44.1%,"2,531","1,730",58.5%,"2,957",1.00,5.00,4.89,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1992,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1993,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1994,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1995,"6,000",1.00,"6,000",1.02,"6,139",2.00,"12,278","14,086",46.9%,"26,364","17,783",59.2%,"30,061",1.00,5.00,4.89,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1996,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1997,"4,000",1.00,"4,000",1.02,"4,093",2.00,"8,185","10,346",47.2%,"18,531","13,725",62.6%,"21,910",1.00,5.00,4.89,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1998,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,1999,"6,667",1.00,"6,667",1.02,"6,821",2.00,"13,642",772,5.0%,"14,415","1,694",11.0%,"15,336",1.00,5.00,4.89,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2000,"1,250",1.00,"1,250",1.00,"1,250",2.00,"2,500","2,062",43.3%,"4,562","2,267",47.6%,"4,767",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2001,"3,750",1.00,"3,750",1.00,"3,750",2.00,"7,500","4,780",35.8%,"12,280","5,861",43.9%,"13,361",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2002,"3,259",1.00,"3,259",1.00,"3,259",2.00,"6,519","4,265",38.3%,"10,783","4,609",41.4%,"11,127",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2003,"4,167",1.00,"4,167",1.00,"4,167",2.00,"8,333","2,600",22.3%,"10,933","3,326",28.5%,"11,660",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2004,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2005,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2006,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2007,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2008,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2009,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2010,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2011,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2012,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2013,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2014,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2015,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2016,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2017,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2018,"1,172",1.00,"1,172",1.00,"1,172",2.00,"2,344",58,2.4%,"2,402",69,2.9%,"2,413",1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2019,140,1.00,140,1.00,140,2.00,280,6,2.0%,286,15,5.0%,295,1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2020,,,,,,,,,,,,,,,,,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2021,150,1.00,150,1.00,150,2.00,300,4,1.3%,304,17,5.3%,317,1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-05,SX,Johnston,2022,92,1.00,92,1.00,92,2.00,184,17,8.3%,201,19,9.5%,203,1.00,5.00,5.00,Johnston,[LOOKUP CU],Sockeye Model,04
SX_L-20-06,SX,Kitsumkalum,1960,225,1.00,225,1.88,422,2.00,844,648,38.4%,"1,492",843,50.0%,"1,687",2.50,5.00,2.67,Kalum,[LOOKUP CU],Sockeye Model,04
SX_L-20-06,SX,Kitsumkalum,1961,600,1.00,600,1.88,"1,126",2.00,"2,251","1,940",45.5%,"4,191","2,013",47.2%,"4,264",2.50,5.00,2.67,Kalum,[LOOKUP CU],Sockeye Model,04
SX_L-20-06,SX,Kitsumkalum,1962,600,1.00,600,1.88,"1,126",2.00,"2,251","2,097",45.1%,"4,348","2,399",51.6%,"4,650",2.50,5.00,2.67,Kalum,[LOOKUP CU],Sockeye Model,04
SX_L-20-06,SX,Kitsumkalum,1963,400,1.35,542,1.88,"1,017",2.00,"2,033",703,23.6%,"2,736",942,31.7%,"2,975",2.50,3.69,2.67,Kalum,[LOOKUP CU],Sockeye Model,04
SX_L-20-06,SX,Kitsumkalum,1964,300,1.35,406,1.88,763,2.00,"1,525","1,306",42.9%,"2,831","1,518",49.9%,"3,043",2.50,3.69,2.67,Kalum,[LOOKUP CU],Sockeye Model,04
SX_L-20-06,SX,Kitsumkalum,1965,800,1.00,800,1.88,"1,501",2.00,"3,001","1,626",31.2%,"4,628","2,208",42.4%,"5,210",2.50,5.00,2.67,Kalum,[LOOKUP CU],Sockeye Model,04
SX_L-20-06,SX,Kitsumkalum,1966,425,1.00,425,1.88,797,2.00,"1,595","2,147",55.5%,"3,742","2,275",58.8%,"3,869",2.50,5.00,2.67,Kalum,[LOOKUP CU],Sockeye Model,04
SX_L-20-06,SX,Kitsumkalum,1967,775,1.00,775,1.88,"1,454",2.00,"2,908","4,504",54.9%,"7,411","5,292",64.5%,"8,200",2.50,5.00,2.67,Kalum,[LOOKUP CU],Sockeye Model,04
SX_L-20-06,SX,Kitsumkalum,1968,475,1.00,475,1.88,891,2.00,"1,782","2,217",53.4%,"4,000","2,374",57.1%,"4,156",2.50,5.00,2.67,Kalum,[LOOKUP CU],Sockeye Model,04
